species,n_families,n_proteins,neurons,genome_mb,cell_types
human,17,1687,86000000000.0,3200,411
mouse,17,968,71000000.0,2700,405
zebrafish,13,235,10000000.0,1400,193
frog,12,137,4000000.0,1500,150
fly,12,349,135000.0,140,100
worm,12,295,302.0,100,60
chicken,14,500,220000000.0,1200,250
lizard,14,500,8000000.0,1800,180
fugu,12,500,5000000.0,400,170
bee,11,500,1000000.0,250,120
lancelet,10,500,20000.0,520,80
sea_urchin,8,500,5000.0,814,70
sea_squirt,10,500,100.0,160,50
octopus,7,500,500000000.0,2700,300
sea_slug,5,16,20000.0,560,60
