species,common_name,group,protein_type,n_proteins,n_families,neurons,genome_mb,cell_types,mean_llphy_score,high_llps_count,high_llps_pct
bee,bee,supplementary,RBP,646,3,1000000.0,250,85,0.44298507434166223,326,50.464396284829725
bee,bee,supplementary,TF,1223,4,1000000.0,250,85,0.30248213502399235,545,44.562551103843006
bee,bee,supplementary,Kinase,1025,3,1000000.0,250,85,-0.5149951114935587,105,10.24390243902439
bee,bee,supplementary,GPCR,186,1,1000000.0,250,85,-0.6242544964411167,2,1.0752688172043012
chicken,chicken,supplementary,RBP,1561,42,200000000.0,1000,150,0.2432735684125384,619,39.65406790518898
chicken,chicken,supplementary,TF,4091,10,200000000.0,1000,150,0.2727823863694692,1447,35.37032510388658
chicken,chicken,supplementary,GPCR,1136,6,200000000.0,1000,150,-0.553516437249406,0,0.0
fly,fly,main,RBP,189,13,100000.0,143,80,0.32401666448429184,76,40.21164021164021
fly,fly,main,TF,431,4,100000.0,143,80,0.37601292715025575,216,50.11600928074246
fly,fly,main,Kinase,136,7,100000.0,143,80,-0.33080982890928207,11,8.088235294117647
fly,fly,main,GPCR,57,2,100000.0,143,80,-0.5895854381556048,0,0.0
frog,frog,main,RBP,98,20,20000000.0,1510,100,0.24426090740535653,36,36.734693877551024
frog,frog,main,TF,239,6,20000000.0,1510,100,0.4352299467083663,117,48.95397489539749
frog,frog,main,Kinase,35,4,20000000.0,1510,100,-0.02201460643286539,0,0.0
frog,frog,main,GPCR,8,2,20000000.0,1510,100,-0.6707900946447846,0,0.0
fugu,fugu,supplementary,RBP,1481,42,10000000.0,390,110,0.2579803113729786,502,33.89601620526671
fugu,fugu,supplementary,TF,4002,10,10000000.0,390,110,0.24666616562969024,1348,33.6831584207896
fugu,fugu,supplementary,Kinase,2997,9,10000000.0,390,110,-0.2868682277004917,56,1.868535201868535
fugu,fugu,supplementary,GPCR,1177,6,10000000.0,390,110,-0.6916412528264841,0,0.0
human,human,main,RBP,624,42,86000000000.0,3200,200,0.2544670646051866,247,39.58333333333333
human,human,main,TF,2442,10,86000000000.0,3200,200,0.2719078933481354,851,34.84848484848485
human,human,main,Kinase,593,9,86000000000.0,3200,200,-0.4406956031224713,19,3.204047217537943
human,human,main,GPCR,839,6,86000000000.0,3200,200,-0.5442037464575757,0,0.0
lancelet,lancelet,supplementary,RBP,1216,3,20000.0,520,90,0.5146309630334507,654,53.7828947368421
lancelet,lancelet,supplementary,TF,2465,5,20000.0,520,90,0.3643092083917348,1076,43.65111561866126
lancelet,lancelet,supplementary,Kinase,1517,2,20000.0,520,90,-0.08682234590218992,174,11.47000659195781
lancelet,lancelet,supplementary,GPCR,1161,1,20000.0,520,90,-0.3596657246951821,12,1.03359173126615
lizard,lizard,supplementary,RBP,814,41,20000000.0,1800,130,0.2578461595064349,327,40.171990171990174
lizard,lizard,supplementary,TF,2437,10,20000000.0,1800,130,0.14708986546799047,704,28.88797702092737
