family,rho,p_value,significant,invert_count,vert_count,total,worm,fly,zebrafish,frog,mouse,human,category
CELF,0.9710083124552245,0.0012485929031976,True,0,19,19,0,0,4,4,5,6,Vertebrate-expanded
FMR,0.9710083124552245,0.0012485929031976,True,1,9,10,0,1,1,2,3,3,Vertebrate-expanded
DIS3,0.9710083124552245,0.0012485929031976,True,0,9,9,0,0,1,2,3,3,Vertebrate-expanded
Staufen,0.956182887467515,0.0028378459267344,True,0,6,6,0,0,1,1,2,2,Vertebrate-expanded
RBM,0.9276336570439176,0.0076658441874731,True,0,91,91,0,0,12,7,35,37,Vertebrate-expanded
ELAV/Hu,0.9258200997725516,0.0080498931008376,True,0,13,13,0,0,1,4,4,4,Vertebrate-expanded
Exosome,0.9121593238215744,0.0112350879440594,True,0,21,21,0,0,2,1,9,9,Vertebrate-expanded
CPEB,0.9121593238215744,0.0112350879440594,True,0,11,11,0,0,2,1,4,4,Vertebrate-expanded
RBFOX,0.9121593238215744,0.0112350879440594,True,0,9,9,0,0,2,1,3,3,Vertebrate-expanded
PABP,0.8986451052612952,0.0148886220055803,True,2,16,18,0,2,1,2,4,9,Vertebrate-expanded
Argonaute,0.8986451052612952,0.0148886220055803,True,3,16,19,1,2,3,2,5,6,Other
CIRBP,0.87831006565368,0.0213116411287566,True,0,3,3,0,0,0,1,1,1,Other
APOBEC,0.8451542547285166,0.0341094231674096,True,0,3,3,0,0,0,0,1,2,Other
ADAR,0.8451542547285166,0.0341094231674096,True,0,5,5,0,0,0,0,2,3,Vertebrate-expanded
hnRNP,0.8451542547285166,0.0341094231674096,True,0,33,33,0,0,0,0,12,21,Vertebrate-expanded
ALYREF,0.8332380897952965,0.0393955164788511,True,0,4,4,0,0,0,1,2,1,Other
MBNL,0.8280786712108252,0.0417946804560451,True,0,4,4,0,0,0,0,2,2,Other
G3BP,0.8280786712108252,0.0417946804560451,True,0,4,4,0,0,0,0,2,2,Other
PUM,0.8280786712108252,0.0417946804560451,True,0,4,4,0,0,0,0,2,2,Other
Drosha,0.8280786712108252,0.0417946804560451,True,0,2,2,0,0,0,0,1,1,Other
HNRNPK,0.8280786712108252,0.0417946804560451,True,0,8,8,0,0,0,0,4,4,Vertebrate-expanded
PTBP,0.8280786712108252,0.0417946804560451,True,0,6,6,0,0,0,0,3,3,Vertebrate-expanded
CSTF,0.8280786712108252,0.0417946804560451,True,0,4,4,0,0,0,0,2,2,Other
NOVA,0.8280786712108252,0.0417946804560451,True,0,4,4,0,0,0,0,2,2,Other
Ribosomal-L,0.8116794499134279,0.0498575851013403,True,6,19,25,0,6,1,1,8,9,Broadly conserved
YTHD,0.802377419802878,0.0547229825750856,False,0,11,11,0,0,1,0,5,5,Vertebrate-expanded
SR,0.7356123579206245,0.0956107807382796,False,5,42,47,1,4,4,1,16,21,Broadly conserved
ZC3H,0.7171371656006363,0.1087009513249235,False,1,7,8,0,1,1,0,3,3,Vertebrate-expanded
FUS/TDP,0.6546536707079772,0.1583024233754578,False,0,1,1,0,0,0,0,0,1,Other
KH-domain,0.6546536707079772,0.1583024233754578,False,0,1,1,0,0,0,0,0,1,Other
IGF2BP,0.6473388749701496,0.1646245946813782,False,1,14,15,1,0,2,0,6,6,Vertebrate-expanded
DHX,0.6375355777548621,0.1732603152985335,False,2,9,11,0,2,0,0,5,4,Vertebrate-expanded
Ribosomal-S,0.6,0.2079999999999998,False,5,13,18,0,5,2,1,4,6,Broadly conserved
DEAD-box,0.6,0.2079999999999998,False,14,56,70,2,12,4,1,22,29,Broadly conserved
LARP,0.5768179036829705,0.2307322519546003,False,2,10,12,1,1,1,0,4,5,Vertebrate-expanded
TIA,0.5554920598635309,0.2524663994407908,False,1,4,5,1,0,0,0,2,2,Other
Musashi,0.5554920598635309,0.2524663994407908,False,1,4,5,1,0,0,0,2,2,Other
UPF,0.5507824838698261,0.2573693316225744,False,1,9,10,1,0,3,0,2,4,Vertebrate-expanded
SFPQ,0.5217939320872036,0.2883432338003937,False,7,17,24,2,5,1,1,7,8,Broadly conserved
QKI,0.4937707198786941,0.3195369222243138,False,0,4,4,0,0,2,0,1,1,Other
KHDRBS,-0.1309307341415954,0.8047261622231061,False,0,1,1,0,0,1,0,0,0,Other
Dicer,-0.3927922024247863,0.4411128091213043,False,3,4,7,1,2,1,1,1,1,Other
