orthogroup,category,n_species,total_genes,expansion_type,human,mouse,zebrafish,frog,fly,worm
OG0000000,Vertebrate-shared,4,19,Large (>5),6,5,4,4,0,0
OG0000001,Mammal-shared,5,15,Large (>5),6,5,0,1,2,1
OG0000002,Vertebrate-shared,5,15,Medium (3-5),4,4,1,4,2,0
OG0000003,Mammal-shared,4,13,Medium (3-5),5,4,0,0,3,1
OG0000004,All-6-shared,6,13,Large (>5),7,2,1,1,1,1
OG0000005,Vertebrate-shared,5,13,Medium (3-5),4,4,3,1,1,0
OG0000006,Vertebrate-shared,5,13,Medium (3-5),4,3,2,1,3,0
OG0000007,All-6-shared,6,12,Medium (3-5),4,4,1,1,1,1
OG0000008,All-6-shared,6,12,Large (>5),6,2,1,1,1,1
OG0000009,All-6-shared,6,11,Medium (3-5),3,3,1,1,2,1
OG0000010,Vertebrate-shared,5,10,Medium (3-5),3,3,2,1,0,1
OG0000011,Mammal-shared,4,10,Medium (3-5),3,3,0,0,1,3
OG0000012,Mammal-shared,5,10,Medium (3-5),3,2,0,1,3,1
OG0000013,All-6-shared,6,10,Medium (3-5),3,3,1,1,1,1
OG0000014,Vertebrate-shared,5,10,Medium (3-5),3,3,1,2,1,0
OG0000015,Vertebrate-shared,5,10,Medium (3-5),3,3,2,1,1,0
OG0000016,Vertebrate-shared,4,10,Large (>5),2,6,1,1,0,0
OG0000017,Human-only,1,10,Large (>5),10,0,0,0,0,0
OG0000018,Mammal-shared,5,9,Medium (3-5),3,2,1,0,1,2
OG0000019,All-6-shared,6,9,Medium (3-5),1,1,3,1,2,1
OG0000020,All-6-shared,6,9,Small (≤2),2,2,2,1,1,1
OG0000021,Mammal-shared,4,9,Medium (3-5),4,1,0,0,2,2
OG0000022,Mammal-shared,2,9,Large (>5),3,6,0,0,0,0
OG0000023,Human-only,1,9,Large (>5),9,0,0,0,0,0
OG0000024,Mammal-shared,4,8,Medium (3-5),2,3,0,0,2,1
OG0000025,All-6-shared,6,8,Small (≤2),2,2,1,1,1,1
OG0000026,Mammal-shared,4,8,Medium (3-5),2,2,0,0,3,1
OG0000027,Mammal-shared,4,8,Small (≤2),2,2,0,0,2,2
OG0000028,Vertebrate-shared,5,8,Small (≤2),2,2,2,1,0,1
OG0000029,All-6-shared,6,8,Medium (3-5),3,1,1,1,1,1
OG0000030,Mammal-shared,5,8,Small (≤2),2,2,0,1,1,2
OG0000031,Mammal-shared,4,8,Medium (3-5),3,3,1,0,1,0
OG0000032,Mammal-shared,3,8,Medium (3-5),3,3,2,0,0,0
OG0000033,Vertebrate-shared,5,8,Small (≤2),2,2,2,1,1,0
OG0000034,Vertebrate-shared,4,8,Medium (3-5),3,3,1,1,0,0
OG0000035,Mammal-shared,4,8,Medium (3-5),3,3,1,0,1,0
OG0000036,Mammal-shared,2,8,Medium (3-5),4,4,0,0,0,0
OG0000037,Mammal-shared,5,7,Small (≤2),1,1,2,0,1,2
OG0000038,Mammal-shared,5,7,Small (≤2),2,2,1,0,1,1
OG0000039,All-6-shared,6,7,Small (≤2),1,1,1,1,2,1
OG0000040,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,0,1
OG0000041,All-6-shared,6,7,Small (≤2),1,1,1,1,2,1
OG0000042,All-6-shared,6,7,Small (≤2),1,1,1,1,2,1
OG0000043,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,0,1
OG0000044,Mammal-shared,5,7,Small (≤2),2,2,1,0,1,1
OG0000045,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,0,1
OG0000046,All-6-shared,6,7,Small (≤2),1,1,1,1,2,1
OG0000047,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,0,1
OG0000048,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,0,1
OG0000049,All-6-shared,6,7,Small (≤2),1,1,1,2,1,1
OG0000050,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,1,0
OG0000051,Vertebrate-shared,4,7,Small (≤2),2,2,1,2,0,0
OG0000052,Vertebrate-shared,5,7,Small (≤2),2,2,1,1,1,0
OG0000053,Mammal-shared,3,7,Medium (3-5),3,3,0,0,1,0
OG0000054,Mammal-shared,3,7,Medium (3-5),3,3,0,1,0,0
OG0000055,Mammal-shared,2,7,Medium (3-5),4,3,0,0,0,0
OG0000056,Mammal-shared,2,7,Medium (3-5),4,3,0,0,0,0
OG0000057,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000058,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000059,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000060,Mammal-shared,4,6,Small (≤2),2,2,0,0,1,1
OG0000061,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000062,Mammal-shared,4,6,Medium (3-5),3,1,0,0,1,1
OG0000063,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000064,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000065,Mammal-shared,4,6,Small (≤2),2,2,0,0,1,1
OG0000066,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000067,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000068,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000069,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000070,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000071,All-6-shared,6,6,1:1:1 (single-copy),1,1,1,1,1,1
OG0000072,Mammal-shared,4,6,Small (≤2),2,2,1,0,1,0
OG0000073,Vertebrate-shared,4,6,Small (≤2),2,2,1,1,0,0
OG0000074,Mammal-shared,4,6,Small (≤2),2,2,1,0,1,0
OG0000075,Vertebrate-shared,4,6,Small (≤2),2,2,1,1,0,0
OG0000076,Vertebrate-shared,5,6,Small (≤2),1,1,2,1,1,0
OG0000077,Mammal-shared,3,6,Small (≤2),2,2,0,0,2,0
OG0000078,Mammal-shared,3,6,Medium (3-5),3,2,0,0,1,0
OG0000079,Mammal-shared,3,6,Medium (3-5),3,2,0,0,1,0
OG0000080,Mammal-shared,2,6,Medium (3-5),5,1,0,0,0,0
OG0000081,Mammal-shared,2,6,Medium (3-5),3,3,0,0,0,0
OG0000082,Mammal-shared,2,6,Medium (3-5),3,3,0,0,0,0
OG0000083,Mammal-shared,3,6,Medium (3-5),3,2,0,1,0,0
OG0000084,Other,1,5,Medium (3-5),0,0,0,0,0,5
OG0000085,Mammal-shared,4,5,Small (≤2),2,1,0,0,1,1
OG0000086,Mammal-shared,3,5,Small (≤2),2,2,0,0,0,1
OG0000087,Mammal-shared,3,5,Small (≤2),2,2,0,0,0,1
OG0000088,Mammal-shared,5,5,1:1:1 (single-copy),1,1,0,1,1,1
OG0000089,Mammal-shared,3,5,Small (≤2),2,2,0,0,0,1
OG0000090,Vertebrate-shared,5,5,1:1:1 (single-copy),1,1,1,1,0,1
OG0000091,Mammal-shared,4,5,Small (≤2),2,1,0,0,1,1
OG0000092,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
OG0000093,Vertebrate-shared,5,5,1:1:1 (single-copy),1,1,1,1,0,1
OG0000094,Mammal-shared,3,5,Small (≤2),2,2,0,0,0,1
OG0000095,Mammal-shared,4,5,Small (≤2),2,1,0,0,1,1
OG0000096,Mammal-shared,3,5,Small (≤2),2,2,0,0,0,1
OG0000097,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
OG0000098,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
OG0000099,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
OG0000100,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
OG0000101,Mammal-shared,5,5,1:1:1 (single-copy),1,1,0,1,1,1
OG0000102,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
OG0000103,Mammal-shared,4,5,Small (≤2),1,1,0,0,1,2
OG0000104,Mammal-shared,3,5,Small (≤2),2,2,0,0,0,1
OG0000105,Mammal-shared,4,5,Small (≤2),2,1,0,0,1,1
OG0000106,Mammal-shared,5,5,1:1:1 (single-copy),1,1,1,0,1,1
