family,n_total,n_vertebrate,n_invertebrate,vert_invert_ratio,high_llps_pct,mean_llps_score
MBNL,5,5,0,inf,0.0,-264.8
CPEB,11,11,0,inf,54.54545454545454,-21.272727272727273
hnRNP,53,53,0,inf,90.56603773584906,255.50943396226415
Y-box,7,7,0,inf,100.0,247.42857142857142
CELF,19,19,0,inf,0.0,-199.6315789473684
IGF2BP,18,17,1,17.0,0.0,-359.8333333333333
ELAV/Hu,29,27,2,13.5,0.0,-365.2758620689655
RBFOX,11,10,1,10.0,18.181818181818183,-46.63636363636363
PABP,18,16,2,8.0,22.22222222222222,-153.72222222222223
PUF/Pumilio,8,7,1,7.0,25.0,-222.375
SR,81,69,12,5.75,24.691358024691358,-162.60493827160494
Other,2673,2200,473,4.651162790697675,10.961466517022073,-359.3937125748503
FUS/TDP/FET,11,9,2,4.5,72.72727272727273,666.7272727272727
RRM-containing,434,353,81,4.3580246913580245,31.105990783410135,-72.37327188940093
KH-containing,107,87,20,4.35,15.887850467289718,-230.47663551401868
NOVA,5,4,1,4.0,0.0,-246.0
Helicase,181,133,48,2.7708333333333335,7.18232044198895,-688.4198895027624
