protein_type,metric,vs,rho,p_value,n
RBP,n_families,neurons,0.942857142857143,0.004804664723032,6
RBP,n_families,genome_mb,1.0,0.0,6
RBP,n_families,cell_types,1.0,0.0,6
TF,n_families,neurons,0.6957252427829382,0.1247893374402868,6
TF,n_families,genome_mb,0.8116794499134279,0.0498575851013403,6
TF,n_families,cell_types,0.8116794499134279,0.0498575851013403,6
Kinase,n_families,neurons,0.6179143806533246,0.1910939016901931,6
Kinase,n_families,genome_mb,0.7650368522374495,0.0763256359782481,6
Kinase,n_families,cell_types,0.7650368522374495,0.0763256359782481,6
GPCR,n_families,neurons,0.802377419802878,0.0547229825750856,6
GPCR,n_families,genome_mb,0.9258200997725516,0.0080498931008376,6
GPCR,n_families,cell_types,0.9258200997725516,0.0080498931008376,6
