protein_type,metric,vs,rho,p_value,n
RBP,n_families,neurons,0.942857142857143,0.004804664723032055,6
RBP,n_families,genome_mb,1.0,0.0,6
RBP,n_families,cell_types,1.0,0.0,6
TF,n_families,neurons,0.6957252427829382,0.12478933744028686,6
TF,n_families,genome_mb,0.8116794499134279,0.04985758510134035,6
TF,n_families,cell_types,0.8116794499134279,0.04985758510134035,6
Kinase,n_families,neurons,0.6179143806533246,0.1910939016901931,6
Kinase,n_families,genome_mb,0.7650368522374495,0.0763256359782481,6
Kinase,n_families,cell_types,0.7650368522374495,0.0763256359782481,6
GPCR,n_families,neurons,0.802377419802878,0.05472298257508565,6
GPCR,n_families,genome_mb,0.9258200997725515,0.008049893100837698,6
GPCR,n_families,cell_types,0.9258200997725515,0.008049893100837698,6
