protein_type,species,n_families,n_proteins,neurons,genome_mb,cell_types,group
TF,fly,4,431,135000.0,140,100,invertebrate
TF,mouse,10,1930,71000000.0,2700,405,mammal
TF,worm,7,504,302.0,100,60,invertebrate
TF,frog,6,239,4000000.0,1500,150,vertebrate
TF,human,10,2442,86000000000.0,3200,411,mammal
TF,zebrafish,9,439,10000000.0,1400,193,vertebrate
Kinase,fly,7,136,135000.0,140,100,invertebrate
Kinase,mouse,9,581,71000000.0,2700,405,mammal
Kinase,worm,5,197,302.0,100,60,invertebrate
Kinase,frog,4,35,4000000.0,1500,150,vertebrate
Kinase,human,9,593,86000000000.0,3200,411,mammal
Kinase,zebrafish,7,92,10000000.0,1400,193,vertebrate
GPCR,fly,2,57,135000.0,140,100,invertebrate
GPCR,mouse,6,517,71000000.0,2700,405,mammal
GPCR,worm,2,63,302.0,100,60,invertebrate
GPCR,frog,2,8,4000000.0,1500,150,vertebrate
GPCR,human,6,839,86000000000.0,3200,411,mammal
GPCR,zebrafish,3,53,10000000.0,1400,193,vertebrate
RBP,fly,13,189,135000.0,140,100,invertebrate
RBP,mouse,40,553,71000000.0,2700,405,mammal
RBP,worm,11,158,302.0,100,60,invertebrate
RBP,frog,20,98,4000000.0,1500,150,vertebrate
RBP,human,42,624,86000000000.0,3200,411,mammal
RBP,zebrafish,25,161,10000000.0,1400,193,vertebrate
