species,common_name,protein_type,n_proteins,n_families,neurons,genome_mb,cell_types,mean_llphy_score,high_llps_count,high_llps_pct
fly,fly,RBP,189,13,100000.0,143,80,0.32401666448429184,76,40.21164021164021
fly,fly,TF,431,4,100000.0,143,80,0.37601292715025575,216,50.11600928074246
fly,fly,Kinase,136,7,100000.0,143,80,-0.33080982890928207,11,8.088235294117647
fly,fly,GPCR,57,2,100000.0,143,80,-0.5895854381556048,0,0.0
frog,frog,RBP,98,20,20000000.0,1510,100,0.24426090740535653,36,36.734693877551024
frog,frog,TF,239,6,20000000.0,1510,100,0.4352299467083663,117,48.95397489539749
frog,frog,Kinase,35,4,20000000.0,1510,100,-0.02201460643286539,0,0.0
frog,frog,GPCR,8,2,20000000.0,1510,100,-0.6707900946447846,0,0.0
human,human,RBP,624,42,86000000000.0,3200,200,0.2544670646051866,247,39.58333333333333
human,human,TF,2442,10,86000000000.0,3200,200,0.2719078933481354,851,34.84848484848485
human,human,Kinase,593,9,86000000000.0,3200,200,-0.4406956031224713,19,3.204047217537943
human,human,GPCR,839,6,86000000000.0,3200,200,-0.5442037464575757,0,0.0
mouse,mouse,RBP,553,40,71000000.0,2700,180,0.20837754156941898,205,37.070524412296564
mouse,mouse,TF,1930,10,71000000.0,2700,180,0.3060599681826448,761,39.4300518134715
mouse,mouse,Kinase,581,9,71000000.0,2700,180,-0.4354710008272932,12,2.0654044750430294
mouse,mouse,GPCR,517,6,71000000.0,2700,180,-0.5791255424194911,1,0.19342359767891684
worm,worm,RBP,158,11,302.0,100,60,0.31251753131428184,57,36.075949367088604
worm,worm,TF,504,7,302.0,100,60,0.2545636659931609,195,38.69047619047619
worm,worm,Kinase,197,5,302.0,100,60,-0.3205206691705726,7,3.5532994923857872
worm,worm,GPCR,63,2,302.0,100,60,-0.6149374950840183,0,0.0
zebrafish,zebrafish,RBP,161,25,10000000.0,1674,120,0.27538898163476433,59,36.64596273291926
zebrafish,zebrafish,TF,439,9,10000000.0,1674,120,0.3339670378635136,200,45.558086560364465
zebrafish,zebrafish,Kinase,92,7,10000000.0,1674,120,-0.3051422263327216,0,0.0
zebrafish,zebrafish,GPCR,53,3,10000000.0,1674,120,-0.635305191922343,0,0.0
