ensembl_gene_id,gene_symbol,entrez_id,description,rbpworld_family,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type,is_canonical
ENSG00000001497,LAS1L,81887,"LAS1 like, ribosome biogenesis factor",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000002834,LASP1,3927,LIM and SH3 protein 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000003756,RBM5,10181,RNA binding motif protein 5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000004059,ARF5,381,ADP ribosylation factor 5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000004478,FKBP4,2288,FKBP prolyl isomerase 4,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000004534,RBM6,10180,RNA binding motif protein 6,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000004700,RECQL,5965,RecQ like helicase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005007,UPF1,5976,UPF1 RNA helicase and ATPase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005022,SLC25A5,292,solute carrier family 25 member 5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005075,POLR2J,5439,RNA polymerase II subunit J,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005100,DHX33,56919,DEAH-box helicase 33,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005156,LIG3,3980,DNA ligase 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005189,REXO5,81691,RNA exonuclease 5,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005206,SPPL2B,56928,signal peptide peptidase like 2B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005302,MSL3,10943,MSL complex subunit 3,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005339,CREBBP,1387,CREB binding protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005700,IBTK,25998,inhibitor of Bruton tyrosine kinase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000005810,MYCBP2,23077,MYC binding protein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000006047,YBX2,51087,Y-box binding protein 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000006125,AP2B1,163,adaptor related protein complex 2 subunit beta 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000006625,GGCT,79017,gamma-glutamylcyclotransferase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000006712,PAF1,54623,"PAF1 homolog, Paf1/RNA polymerase II complex component",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000006744,ELAC2,60528,elaC ribonuclease Z 2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000007080,CCDC124,115098,coiled-coil domain containing 124,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000007376,RPUSD1,113000,RNA pseudouridine synthase domain containing 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000007392,LUC7L,55692,LUC7 like,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000007520,TSR3,115939,TSR3 ribosome maturation factor,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000008294,SPAG9,9043,sperm associated antigen 9,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000008869,HEATR5B,54497,HEAT repeat containing 5B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000008952,SEC62,7095,"SEC62 homolog, preprotein translocation factor",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000008988,RPS20,6224,ribosomal protein S20,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000009307,CSDE1,7812,cold shock domain containing E1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000009954,BAZ1B,9031,bromodomain adjacent to zinc finger domain 1B,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000010165,EEF1AKNMT,51603,eEF1A lysine and N-terminal methyltransferase,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000010244,ZNF207,7756,zinc finger protein 207,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000010256,UQCRC1,7384,ubiquinol-cytochrome c reductase core protein 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000010292,NCAPD2,9918,non-SMC condensin I complex subunit D2,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011007,ELOA,6924,elongin A,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011243,AKAP8L,26993,A-kinase anchoring protein 8 like,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011260,UTP18,51096,UTP18 small subunit processome component,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011304,PTBP1,5725,polypyrimidine tract binding protein 1,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011376,LARS2,23395,"leucyl-tRNA synthetase 2, mitochondrial",,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011426,ANLN,54443,anillin actin binding protein,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011485,PPP5C,5536,protein phosphatase 5 catalytic subunit,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000011590,ZBTB32,27033,zinc finger and BTB domain containing 32,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
ENSG00000012048,BRCA1,672,BRCA1 DNA repair associated,,Homo_sapiens,human,main6,86000000000.0,3200,411,RBPWorld,RBP,True
