species,common_name,pfam_id,family,n_genes,go_terms
Caenorhabditis_elegans,Worm,PF00035,dsrm,9,GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization
Caenorhabditis_elegans,Worm,PF00076,RRM_1,96,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Caenorhabditis_elegans,Worm,PF00270,DEAD,56,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Caenorhabditis_elegans,Worm,PF00271,Helicase_C,70,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Caenorhabditis_elegans,Worm,PF02136,NTF2,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Caenorhabditis_elegans,Worm,PF08389,Xpo1,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Caenorhabditis_elegans,Worm,PF13965,SID-1_RNA_chan,4,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization
Caenorhabditis_elegans,Worm,PF25128,HRDE1_NRDE3_N,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Drosophila_melanogaster,Fly,PF00004,AAA,3,GO:0007317:regulation of pole plasm oskar mRNA localization; GO:1904580:regulation of intracellular mRNA localization; GO:0045451:pole plasm oskar mRNA localization; GO:0019094:pole plasm mRNA localization; GO:0060811:intracellular mRNA localization involved in anterior/posterior axis specification; GO:0060810:intracellular mRNA localization involved in pattern specification process
Drosophila_melanogaster,Fly,PF00013,KH_1,14,GO:0051236:establishment of RNA localization
Drosophila_melanogaster,Fly,PF00035,dsrm,11,GO:0045450:bicoid mRNA localization; GO:0006403:RNA localization
Drosophila_melanogaster,Fly,PF00069,Pkinase,15,GO:0008298:intracellular mRNA localization; GO:0006403:RNA localization
Drosophila_melanogaster,Fly,PF00071,Ras,23,GO:0045451:pole plasm oskar mRNA localization; GO:0019094:pole plasm mRNA localization; GO:0060811:intracellular mRNA localization involved in anterior/posterior axis specification; GO:0006403:RNA localization; GO:0060810:intracellular mRNA localization involved in pattern specification process; GO:0008298:intracellular mRNA localization
Drosophila_melanogaster,Fly,PF00076,RRM_1,123,GO:0006403:RNA localization; GO:0051236:establishment of RNA localization; GO:0045451:pole plasm oskar mRNA localization; GO:0019094:pole plasm mRNA localization; GO:0060811:intracellular mRNA localization involved in anterior/posterior axis specification; GO:0060810:intracellular mRNA localization involved in pattern specification process; GO:0008298:intracellular mRNA localization; GO:0046595:establishment of pole plasm mRNA localization
Drosophila_melanogaster,Fly,PF00225,Kinesin,3,GO:0051236:establishment of RNA localization
Drosophila_melanogaster,Fly,PF00270,DEAD,50,GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization; GO:0051236:establishment of RNA localization
Drosophila_melanogaster,Fly,PF00271,Helicase_C,67,GO:0006403:RNA localization; GO:0008298:intracellular mRNA localization; GO:0051236:establishment of RNA localization
Drosophila_melanogaster,Fly,PF00567,TUDOR,14,GO:0008298:intracellular mRNA localization; GO:0006403:RNA localization
Drosophila_melanogaster,Fly,PF00636,Ribonuclease_3,3,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
Drosophila_melanogaster,Fly,PF00641,Zn_ribbon_RanBP,8,GO:0051236:establishment of RNA localization; GO:0006403:RNA localization
