accession,catGRANULE,catGRANULE_rnk,PLAAC_NLLR,PLAAC_rnk,PScore,PScore_rnk,ESpritz,ESpritz_rnk,SaPS_8fea,PdPS_8fea,SaPS_8fea_rnk,PdPS_8fea_rnk,Hydropathy,FCR
O01763,0.257741,0.49167270094134685,-0.287,0.41299079011148815,2.25,0.8662806001579363,0.0012531328320802004,0.5874969828626599,0.12896336615085602,0.4252515733242035,0.6145305334298817,0.5633598841419262,0.4552910052910046,0.2719298245614035
Q22618,0.590119,0.7159063480569635,-0.349,0.23873000484730975,-0.62,0.14240589628849698,0.0,0.0002413709872073377,0.012600531801581383,0.2820649743080139,0.14482259232440262,0.4298817282162684,0.47234567901234503,0.25252525252525254
Q10021,1.4559,0.9678976587014241,-0.253,0.5106640814348037,4.04,0.9599894709133983,0.5144230769230769,0.9314506396331161,0.5970591306686401,0.7581130266189575,0.8962104755008448,0.9647598358677287,0.3108974358974354,0.41346153846153844
Q9U299,2.10187,0.985034998793145,0.457,0.9893359185651963,10.62,0.9976309555146091,0.06358974358974359,0.7144581221337195,0.9271630048751831,0.8188875317573547,0.9831040308954864,0.9903451605117065,0.40853561253560877,0.2717948717948718
Q22707,1.19759,0.9394158822109583,-0.273,0.456858943286476,0.59,0.5269807844169518,0.1759656652360515,0.8435916002896452,0.6973627209663391,0.4957717955112457,0.9316920106203235,0.6386676321506155,0.39384835479256103,0.27896995708154504
P34398,0.773092,0.8165580497224234,-0.403,0.13184682501211828,-1.32,0.031060805475125033,0.2633587786259542,0.8875211199613806,0.06086976081132889,0.6758331060409546,0.47501810282404056,0.8855901520637219,0.41870229007633514,0.37404580152671757
Q9GZC8,-0.0772831,0.29712768525223265,-0.292,0.39820649539505576,0.14,0.3748354830218479,0.0,0.0002413709872073377,0.06466905772686005,0.05913428217172623,0.4873280231716148,0.08254887762490949,0.5144186712485666,0.18556701030927836
Q95Q11,-0.344433,0.18802799903451606,-0.473,0.055259331071255455,0.07,0.34956567517767834,0.0,0.0002413709872073377,0.36043137311935425,0.673587441444397,0.7885590152063722,0.8829350712044413,0.4216216216216217,0.31981981981981983
Q18317,0.752068,0.8040067583876418,0.04,0.9100824042656326,2.33,0.8741774151092393,0.0,0.0002413709872073377,0.43760737776756287,0.7049811482429504,0.8259715182235096,0.9167270094134685,0.42820662768031087,0.2631578947368421
Q03577,0.615308,0.7299058653149891,-0.271,0.46388754241396024,0.39,0.45643590418531194,0.08097928436911488,0.7470432054067101,0.03617056459188461,0.5865468978881836,0.38160753077480086,0.7564566739077963,0.45612052730696884,0.2617702448210923
O76365,1.25826,0.9490707216992518,-0.422,0.09840038778477944,0.37,0.4514345880494867,0.10455764075067024,0.7789041757180787,0.48305320739746094,0.7731682062149048,0.8472121650977552,0.9722423364711562,0.4450104259755723,0.3002680965147453
O61931,1.61398,0.9751387883176442,0.468,0.9895782840523509,9.72,0.9965780468544354,0.0,0.0002413709872073377,0.9526320695877075,0.763889491558075,0.9901037895244992,0.9671735457398021,0.4339280404400821,0.23996431757359502
Q21926,0.883177,0.8580738595220855,-0.327,0.29689772176442075,0.71,0.5640958146880758,0.0,0.0002413709872073377,0.03878659009933472,0.46426862478256226,0.3941588221095824,0.6068066618392469,0.46831239653325635,0.25854513584574934
P34659,0.386317,0.5744629495534637,-0.353,0.22903538536112458,nan,nan,0.5647058823529412,0.9386917692493363,0.011302880011498928,0.07834209501743317,0.12720251025826695,0.12840936519430365,0.49725490196078426,0.17647058823529413
O16927,0.123463,0.4069514844315713,-0.453,0.07174018419777024,nan,nan,0.9051724137931034,0.9703113685734974,0.026971563696861267,0.24520500004291534,0.3256094617426985,0.38546946657011827,0.4111111111111113,0.3275862068965517
Q09511,1.78883,0.9811730629978277,-0.18,0.6880756180319922,3.85,0.9565675177678337,0.8163265306122449,0.9633116099444847,0.8318904638290405,0.8076693415641785,0.9669321747525947,0.9867245957035964,0.3029478458049886,0.413265306122449
O18216,0.473075,0.6405986000482742,-0.376,0.181047018904508,0.35,0.4448539089234009,0.21299638989169675,0.866280473087135,0.3843167722225189,0.784981369972229,0.7979724837074583,0.9777938691769249,0.45254713196951435,0.2996389891696751
