accession	species	length	disorder_content	n_disordered_residues	n_disordered_regions	longest_idr	idr_source
accession	species						
Q9Y4W2	Homo_sapiens	734	0.17	125	2	73	prediction-disorder-mobidb_lite
Q14847	Homo_sapiens	261	0.291	76	1	76	prediction-disorder-mobidb_lite
P52756	Homo_sapiens	815	0.227	185	3	93	prediction-disorder-mobidb_lite
P84085	Homo_sapiens	180	0.039	7	2	4	prediction-disorder-th_50
Q02790	Homo_sapiens	459	0.137	63	2	39	prediction-disorder-mobidb_lite
P78332	Homo_sapiens	1123	0.7	786	6	391	prediction-disorder-mobidb_lite
P46063	Homo_sapiens	649	0.085	55	1	55	prediction-disorder-mobidb_lite
Q92900	Homo_sapiens	1129	0.112	126	4	50	prediction-disorder-mobidb_lite
P05141	Homo_sapiens	298	0.017	5	2	3	prediction-disorder-th_50
P52435	Homo_sapiens	117	0.094	11	2	6	prediction-disorder-th_50
Q9H6R0	Homo_sapiens	707	0.091	64	1	64	prediction-disorder-mobidb_lite
P49916	Homo_sapiens	1009	0.108	109	2	76	prediction-disorder-mobidb_lite
Q96IC2	Homo_sapiens	774	0.028	22	1	22	prediction-disorder-mobidb_lite
Q8TCT7	Homo_sapiens	592	0.137	81	1	81	prediction-disorder-mobidb_lite
Q8N5Y2	Homo_sapiens	521	0.317	165	2	112	prediction-disorder-mobidb_lite
Q92793	Homo_sapiens	2442	0.39	952	9	290	prediction-disorder-mobidb_lite
Q9P2D0	Homo_sapiens	1353	0.04	54	2	32	prediction-disorder-mobidb_lite
O75592	Homo_sapiens	4678	0.108	506	12	223	prediction-disorder-mobidb_lite
Q9Y2T7	Homo_sapiens	364	0.723	263	2	210	prediction-disorder-mobidb_lite
P63010	Homo_sapiens	937	0.039	37	4	21	prediction-disorder-th_50
O75223	Homo_sapiens	188	0.069	13	1	13	curated-disorder-merge
Q8N7H5	Homo_sapiens	531	0.365	194	2	171	prediction-disorder-mobidb_lite
Q9BQ52	Homo_sapiens	826	0.132	109	3	44	prediction-disorder-mobidb_lite
Q96CT7	Homo_sapiens	223	0.655	146	2	126	prediction-disorder-mobidb_lite
Q9UJJ7	Homo_sapiens	312	0.138	43	1	43	prediction-disorder-mobidb_lite
Q9NQ29	Homo_sapiens	371	0.377	140	1	140	prediction-disorder-mobidb_lite
Q9UJK0	Homo_sapiens	312	0.353	110	2	89	prediction-disorder-mobidb_lite
O60271	Homo_sapiens	1321	0.179	237	5	90	prediction-disorder-mobidb_lite
Q9P2D3	Homo_sapiens	2071	0.052	108	16	19	prediction-disorder-th_50
Q99442	Homo_sapiens	399	0.429	171	2	111	prediction-disorder-mobidb_lite
P60866	Homo_sapiens	119	0.185	22	6	10	prediction-disorder-th_50
O75534	Homo_sapiens	798	0.107	85	15	24	prediction-disorder-th_50
Q9UIG0	Homo_sapiens	1483	0.221	328	7	90	prediction-disorder-mobidb_lite
Q8N6R0	Homo_sapiens	699	0.039	27	1	27	prediction-disorder-mobidb_lite
O43670	Homo_sapiens	478	0.536	256	4	95	prediction-disorder-mobidb_lite
P31930	Homo_sapiens	480	0.006	3	1	3	prediction-disorder-th_50
Q15021	Homo_sapiens	1401	0.113	158	3	99	prediction-disorder-mobidb_lite
Q14241	Homo_sapiens	772	0.561	433	3	325	prediction-disorder-mobidb_lite
Q9ULX6	Homo_sapiens	646	0.341	220	2	118	prediction-disorder-mobidb_lite
Q9Y5J1	Homo_sapiens	556	0.234	130	3	70	prediction-disorder-mobidb_lite
P26599	Homo_sapiens	557	0.149	83	3	42	curated-disorder-merge
Q15031	Homo_sapiens	903	0.02	18	6	8	prediction-disorder-th_50
Q9NQW6	Homo_sapiens	1124	0.259	291	6	113	prediction-disorder-mobidb_lite
P53041	Homo_sapiens	499	0.046	23	1	23	prediction-disorder-mobidb_lite
Q9Y2Y4	Homo_sapiens	487	0.446	217	3	133	prediction-disorder-mobidb_lite
P38398	Homo_sapiens	1863	0.197	367	8	66	prediction-disorder-mobidb_lite
Q9NZN3	Homo_sapiens	535	0.064	34	5	17	prediction-disorder-th_50
Q14764	Homo_sapiens	893	0.043	38	1	38	prediction-disorder-mobidb_lite
Q9NW08	Homo_sapiens	1133	0.061	69	13	18	prediction-disorder-th_50
Q9UNK9	Homo_sapiens	670	0.066	44	7	17	prediction-disorder-th_50
P49184	Homo_sapiens	302	0.033	10	3	4	prediction-disorder-th_50
