accession	gene_name	species	protein_type	old_family	length	pfam_ids
A1Z7T0	Pkn	fly	Kinase	Other	1190	PF02185:HR1;PF00069:Pkinase;PF00433:Pkinase_C
A1Z9X0	aPKC	fly	Kinase	Other	606	PF00130:C1_1;PF00564:PB1;PF00069:Pkinase;PF00433:Pkinase_C
A1ZB29	Dtymk	fly	Kinase	Other	211	PF02223:Thymidylate_kin
A4VCL2		fly	Kinase	Other	528	PF06702:Fam20C
M9PGC5	Wnk	fly	Kinase	Other	2462	PF24889:CCTL2_WNK;PF12202:OSR1_C;PF00069:Pkinase
O61267	lok	fly	Kinase	Other	476	PF00498:FHA;PF00069:Pkinase
O61443	p38b	fly	Kinase	Other	365	PF00069:Pkinase
O61661	grp	fly	Kinase	Other	512	PF00069:Pkinase
O62618	p38a	fly	Kinase	Other	366	PF00069:Pkinase
O62619	Pyk	fly	Kinase	Other	533	PF00224:PK;PF02887:PK_C
O76324	dco	fly	Kinase	Other	440	PF00069:Pkinase
O96838	fab1	fly	Kinase	Other	1809	PF00118:Cpn60_TCP1;PF01363:FYVE;PF01504:PIP5K
O97143	SAK	fly	Kinase	PLK	769	PF00069:Pkinase;PF18190:Plk4_PB1;PF18409:Plk4_PB2
P00522	Abl	fly	Kinase	Other	1620	PF08919:F_actin_bind;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P00528	Src64B	fly	Kinase	Other	552	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P04412	Egfr	fly	Kinase	Other	1426	PF00757:Furin-like;PF14843:GF_recep_IV;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
P05130	Pkc53E	fly	Kinase	Other	679	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P08181	CkIIalpha	fly	Kinase	Other	336	PF00069:Pkinase
P08630	Btk	fly	Kinase	Other	786	PF00779:BTK;PF00169:PH;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
P08879	awd	fly	Kinase	Other	153	PF00334:NDK
P09208	InR	fly	Kinase	Other	2144	PF00041:fn3;PF00757:Furin-like;PF07714:PK_Tyr_Ser-Thr;PF01030:Recep_L_domain
P10676	ninaC	fly	Kinase	Other	1501	PF00612:IQ;PF00063:Myosin_head;PF00069:Pkinase
P11346	Raf	fly	Kinase	Other	739	PF00130:C1_1;PF07714:PK_Tyr_Ser-Thr;PF02196:RBD
P12370	Pka-C1	fly	Kinase	Other	353	PF00069:Pkinase
P13368	sev	fly	Kinase	Other	2554	PF00041:fn3;PF07714:PK_Tyr_Ser-Thr
P13677	inaC	fly	Kinase	Other	700	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P13678	Pkc98E	fly	Kinase	Other	739	PF00130:C1_1;PF00168:C2;PF00069:Pkinase;PF00433:Pkinase_C
P16912	Pka-C3	fly	Kinase	Other	583	PF00069:Pkinase
P18106	FER	fly	Kinase	Other	1325	PF00611:FCH;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
P18431	sgg	fly	Kinase	Other	514	PF00069:Pkinase
P18475	tor	fly	Kinase	Other	923	PF07714:PK_Tyr_Ser-Thr
P23572	Cdk1	fly	Kinase	CDK	297	PF00069:Pkinase
P23573	Cdk2	fly	Kinase	CDK	314	PF00069:Pkinase
P23647	fu	fly	Kinase	Other	805	PF00069:Pkinase
P32023	for	fly	Kinase	Other	934	PF00027:cNMP_binding;PF00069:Pkinase
P32865	Gprk1	fly	Kinase	Other	700	PF00169:PH;PF00069:Pkinase;PF00615:RGS
P32866	Gprk2	fly	Kinase	Other	714	PF00069:Pkinase
P40417	rl	fly	Kinase	MAPK	376	PF00069:Pkinase
P48609	Cdk5	fly	Kinase	CDK	294	PF00069:Pkinase
P49071	MAPk-Ak2	fly	Kinase	MAPK	359	PF00069:Pkinase
P49657	mnb	fly	Kinase	Other	908	PF00069:Pkinase
P49762	Doa	fly	Kinase	Other	832	PF00069:Pkinase
P51123	Taf1	fly	Kinase	Other	2129	PF00439:Bromodomain;PF12157:DUF3591;PF09247:TBP-binding;PF15288:zf-CCHC_6
P52034	Pfk	fly	Kinase	Other	788	PF00365:PFK
P52304	polo	fly	Kinase	Other	576	PF00069:Pkinase;PF00659:POLO_box
P54350	Wee1	fly	Kinase	Other	609	PF00069:Pkinase
P54352	eas	fly	Kinase	Other	518	PF01633:Choline_kinase
P54360	fj	fly	Kinase	Other	583	
P54367	CkIalpha	fly	Kinase	Other	337	PF00069:Pkinase
P83100	p38c	fly	Kinase	Other	356	PF00069:Pkinase
P83103	Haspin	fly	Kinase	Other	566	PF12330:Haspin_kinase
P92208	bsk	fly	Kinase	Other	372	PF00069:Pkinase
Q00168	CaMKII	fly	Kinase	Other	530	PF08332:CaMKII_AD;PF00069:Pkinase
Q01583	Dgk	fly	Kinase	Other	1211	PF00130:C1_1;PF14513:DAG_kinase_N;PF00609:DAGK_acc;PF00781:DAGK_cat;PF13499:EF-hand_7
Q01604	Pgk	fly	Kinase	Other	415	PF00162:PGK
Q03042	Pkg21D	fly	Kinase	Other	768	PF00027:cNMP_binding;PF00069:Pkinase
Q03043	for	fly	Kinase	Other	1088	PF00027:cNMP_binding;PF00069:Pkinase
Q05652	pll	fly	Kinase	Other	501	PF00531:Death;PF07714:PK_Tyr_Ser-Thr
Q07407	htl	fly	Kinase	Other	729	PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q09103	rdgA	fly	Kinase	Other	1457	PF12796:Ank_2;PF00130:C1_1;PF00609:DAGK_acc;PF00781:DAGK_cat;PF23578:DGKI
Q09147	btl	fly	Kinase	Other	1052	PF07679:I-set;PF00047:ig;PF13927:Ig_3;PF07714:PK_Tyr_Ser-Thr
Q0KHQ5	Tao	fly	Kinase	Other	1039	PF00069:Pkinase
Q0KHV6	Pink1	fly	Kinase	Other	721	PF00069:Pkinase
Q23977	hep	fly	Kinase	Other	1178	PF00069:Pkinase
Q24145	Shark	fly	Kinase	Other	939	PF00023:Ank;PF12796:Ank_2;PF07714:PK_Tyr_Ser-Thr;PF00017:SH2
Q24210	CASK	fly	Kinase	Other	898	PF00625:Guanylate_kin;PF02828:L27;PF00595:PDZ;PF00069:Pkinase;PF00018:SH3_1
Q24324	Dsor1	fly	Kinase	Other	396	PF00069:Pkinase
Q24488	Ror	fly	Kinase	Other	685	PF00051:Kringle;PF07714:PK_Tyr_Ser-Thr
Q24592	hop	fly	Kinase	Other	1177	PF07714:PK_Tyr_Ser-Thr;PF21990:SH2_1
Q27324	drl	fly	Kinase	Other	610	PF07714:PK_Tyr_Ser-Thr;PF02019:WIF
Q5EAK6	tefu	fly	Kinase	Other	2767	PF02260:FATC;PF00454:PI3_PI4_kinase
Q70PP2	nonC	fly	Kinase	Other	3218	PF02260:FATC;PF00454:PI3_PI4_kinase;PF15785:SMG1
Q7KRY6	ball	fly	Kinase	Other	599	PF00069:Pkinase
Q8IMC6	Asator	fly	Kinase	Other	1262	PF00069:Pkinase
Q8INB9	Akt	fly	Kinase	AKT	611	PF00169:PH;PF00069:Pkinase;PF00433:Pkinase_C
Q8IQG9	Ak1	fly	Kinase	Other	229	PF00406:ADK
Q8IR79	LIMK1	fly	Kinase	Other	1257	PF00412:LIM;PF00595:PDZ;PF07714:PK_Tyr_Ser-Thr
Q8T0S6	hpo	fly	Kinase	Other	669	PF11629:Mst1_SARAH;PF00069:Pkinase
Q95UN8	slpr	fly	Kinase	Other	1161	PF07714:PK_Tyr_Ser-Thr;PF00018:SH3_1
Q9I7F7	Ack-like	fly	Kinase	Other	1337	PF00786:PBD;PF07714:PK_Tyr_Ser-Thr;PF22931:SAM_TNK
Q9NBK5	trc	fly	Kinase	Other	463	PF00069:Pkinase;PF00433:Pkinase_C
Q9NFT7	Hex-T	fly	Kinase	Other	486	PF00349:Hexokinase_1;PF03727:Hexokinase_2
Q9NI63	Myt1	fly	Kinase	Other	533	PF00069:Pkinase
Q9NIV1	PEK	fly	Kinase	Other	1162	PF00069:Pkinase
Q9U915	Ak2	fly	Kinase	Other	240	PF00406:ADK;PF05191:ADK_lid
Q9V3D5	Dyrk2	fly	Kinase	Other	722	PF00069:Pkinase
Q9V3I5	JIL-1	fly	Kinase	Other	1207	PF00069:Pkinase;PF00433:Pkinase_C
Q9V3Q6	Tak1	fly	Kinase	Other	678	PF07714:PK_Tyr_Ser-Thr
Q9V422	dnt	fly	Kinase	Other	584	PF07714:PK_Tyr_Ser-Thr;PF02019:WIF
Q9V6K3	Nrk	fly	Kinase	Other	724	PF01392:Fz;PF00051:Kringle;PF07714:PK_Tyr_Ser-Thr
Q9V9J3	Src42A	fly	Kinase	Other	517	PF07714:PK_Tyr_Ser-Thr;PF00017:SH2;PF00018:SH3_1
Q9VA38	wts	fly	Kinase	Other	1105	PF00069:Pkinase
Q9VBW3	Cad96Ca	fly	Kinase	Other	773	PF07714:PK_Tyr_Ser-Thr
Q9VEZ5	IKKbeta	fly	Kinase	Other	751	PF00069:Pkinase
Q9VGU6	Ak3	fly	Kinase	Other	216	PF00406:ADK;PF05191:ADK_lid
Q9VI13	Pak	fly	Kinase	Other	704	PF00786:PBD;PF00069:Pkinase
Q9VK45	mTor	fly	Kinase	Other	2470	PF02259:FAT;PF02260:FATC;PF08771:FRB_dom;PF23593:HEAT_ATR;PF11865:mTOR_dom;PF00454:PI3_PI4_kinase
