accession,catGRANULE,catGRANULE_rnk,PLAAC_NLLR,PLAAC_rnk,PScore,PScore_rnk,ESpritz,ESpritz_rnk,SaPS_8fea,PdPS_8fea,SaPS_8fea_rnk,PdPS_8fea_rnk,Hydropathy,FCR
Q9JJ48,1.04754,0.913469435644726,-0.331,0.2550762168206698,0.45,0.37724703042622115,0.46885245901639344,0.9189839258477062,0.7842719554901123,0.605312705039978,0.9526575149595213,0.8237123078728147,0.35985428051001916,0.35737704918032787
Q60520,0.769841,0.8153232429895577,0.19,0.9796951327173209,2.09,0.7901289461983103,0.0007849293563579278,0.5200633579725449,0.4688330590724945,0.7453781366348267,0.8313387304939576,0.9639798193124487,0.4251787894645002,0.25353218210361067
Q99020,2.20498,0.992197583010677,0.138,0.9703960920487317,2.8,0.8774693514577908,0.3894736842105263,0.9056083538660096,0.9546201825141907,0.851798415184021,0.9915522703273495,0.9960694591106418,0.4007797270955165,0.2912280701754386
Q6PHZ5,1.74234,0.9853924674410419,0.013,0.9279618621623212,6.06,0.988248745474179,0.11950394588500564,0.7579490789628065,0.9124276041984558,0.652358889579773,0.9816965857092573,0.8826117564237944,0.4045722159589129,0.2717023675310034
Q8BGJ9,0.523421,0.6770503343892995,-0.253,0.4783709022423636,1.34,0.6395858476783333,0.08181818181818182,0.6976416754663851,0.34792560338974,0.49004435539245605,0.775783174938402,0.6775196527044468,0.3946464646464645,0.2863636363636364
Q3UEB3,0.356391,0.5714537134811686,-0.115,0.8067212053440056,0.23,0.3104236803658769,0.040780141843971635,0.6085885251671946,0.19463102519512177,0.22309401631355286,0.6809808752786578,0.39809926082365366,0.48311662726556065,0.20567375886524822
P97864,0.49717,0.660213539833392,-0.317,0.2925077982461303,0.51,0.39490567236231977,0.09900990099009901,0.7276193828464156,0.23483601212501526,0.654231607913971,0.7114865657632289,0.8845476944737768,0.4416574990832406,0.29042904290429045
Q6DID3,0.984604,0.8963393171418514,0.074,0.9534459419692779,2.75,0.8731499714158674,0.055205047318611984,0.6409128241229614,0.7241829633712769,0.7703275084495544,0.9348234189839258,0.9761820955062771,0.43215036803364704,0.22712933753943218
Q8JZQ9,0.80212,0.8297547811803355,-0.292,0.3648402095226885,0.71,0.457917804738614,0.16064757160647572,0.8065235245805468,0.21550524234771729,0.6893025636672974,0.6978176698345653,0.9227971371582776,0.42712052027120667,0.29265255292652553
Q5SUE7,0.521428,0.6755837146544644,-0.12,0.7983049849920546,1.26,0.6190052721844629,0.0,5.8664789393406076e-05,0.09028849750757217,0.21131965517997742,0.5448198990965623,0.38179044937228673,0.47612636869503056,0.1841680129240711
