ensembl_gene_id,gene_symbol,entrez_id,tf_family,protein_ids,species,common_name,group,neurons,genome_mb,cell_types,data_source,protein_type
ENSG00000123268,ATF1,466.0,TF_bZIP,ENSP00000262053.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000254553,,,ZBTB,ENSP00000455300.1;ENSP00000455300.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000134595,SOX3,6658.0,HMG,ENSP00000359567.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000269404,SPIB,6689.0,ETS,ENSP00000391877.2;ENSP00000471921.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000177842,ZNF620,253639.0,zf-C2H2,ENSP00000391472.1;ENSP00000322265.6;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000256294,ZNF225,7768.0,zf-C2H2,ENSP00000262894.5;ENSP00000468686.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000128714,HOXD13,3239.0,Homeobox,ENSP00000376322.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000126368,NR1D1,9572.0,THR-like,ENSP00000246672.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000198815,FOXJ3,22887.0,Fork_head,ENSP00000354620.1;ENSP00000361654.1;ENSP00000439044.1;ENSP00000393408.1;ENSP00000354449.1;ENSP00000361653.1;ENSP00000403060.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000132846,ZBED3,84327.0,zf-BED,ENSP00000427487.1;ENSP00000255198.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000161940,BCL6B,255877.0,ZBTB,ENSP00000293805.5;ENSP00000293805.5;ENSP00000460282.1;ENSP00000445010.2;ENSP00000460071.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000164107,HAND2,9464.0,bHLH,ENSP00000427084.1;ENSP00000352565.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000124444,ZNF576,79177.0,zf-C2H2,ENSP00000435934.1;ENSP00000375827.2;ENSP00000435463.1;ENSP00000337852.4;ENSP00000436182.1;ENSP00000435899.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000135111,TBX3,6926.0,T-box,ENSP00000257567.2;ENSP00000257566.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000170802,FOXN2,3344.0,Fork_head,ENSP00000343633.3;ENSP00000388486.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000123685,BATF3,55509.0,TF_bZIP,ENSP00000243440.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000180884,ZNF792,126375.0,zf-C2H2,ENSP00000385099.1;ENSP00000474130.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000227124,ZNF717,100131827.0,zf-C2H2,ENSP00000498738.1;ENSP00000419377.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000124782,RREB1,6239.0,zf-C2H2,ENSP00000369265.3;ENSP00000419511.1;ENSP00000305560.10;ENSP00000335574.6;ENSP00000369270.2;ENSP00000420519.1;ENSP00000420299.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000261459,,,zf-C2H2,ENSP00000454241.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000204644,ZFP57,346171.0,zf-C2H2,ENSP00000418259.2;ENSP00000366080.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000167491,GATAD2A,54815.0,zf-GATA,ENSP00000353463.3;ENSP00000508398.1;ENSP00000351552.3;ENSP00000384899.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000172493,AFF1,4299.0,AF-4,ENSP00000305689.6;ENSP00000424881.1;ENSP00000425755.1;ENSP00000378578.4;ENSP00000501252.1;ENSP00000424483.1;ENSP00000427593.1;ENSP00000424766.1;ENSP00000440843.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000166529,ZSCAN21,7589.0,zf-C2H2,ENSP00000292450.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000285708,,,Fork_head,ENSP00000497585.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000175879,HOXD8,3234.0,Homeobox,ENSP00000409026.2;ENSP00000315949.4;ENSP00000406045.1;ENSP00000437431.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000173253,DMRT2,10655.0,DM,ENSP00000259622.6;ENSP00000489226.1;ENSP00000397494.2;ENSP00000371686.3;ENSP00000350865.2;ENSP00000371690.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000125813,PAX1,5075.0,PAX,ENSP00000410355.2;ENSP00000481334.1;ENSP00000381499.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000186660,ZFP91,80829.0,zf-C2H2,ENSP00000339030.5;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000168661,ZNF30,90075.0,zf-C2H2,ENSP00000303889.7;ENSP00000403441.1;ENSP00000469954.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000135625,EGR4,,zf-C2H2,ENSP00000419687.1;ENSP00000445626.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000006468,ETV1,2115.0,ETS,ENSP00000384138.1;ENSP00000405327.1;ENSP00000385551.2;ENSP00000385686.1;ENSP00000382293.3;ENSP00000384085.4;ENSP00000242066.5;ENSP00000385381.2;ENSP00000411626.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000197123,ZNF679,168417.0,zf-C2H2,ENSP00000416809.1;ENSP00000255746.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000196428,TSC22D2,9819.0,TSC22,ENSP00000354543.2;ENSP00000510392.1;ENSP00000417747.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000130856,ZNF236,7776.0,zf-C2H2,ENSP00000322361.9;ENSP00000463787.1;ENSP00000253159.8;ENSP00000444524.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000181472,ZBTB2,57621.0,ZBTB,ENSP00000323183.4;ENSP00000323183.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000109685,NSD2,7468.0,HMG,ENSP00000425761.1;ENSP00000329167.5;ENSP00000504406.1;ENSP00000427516.2;ENSP00000372347.5;ENSP00000381311.1;ENSP00000423972.1;ENSP00000372348.2;ENSP00000308780.6;ENSP00000372351.3;ENSP00000421681.1;ENSP00000424482.1;ENSP00000399251.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000122180,MYOG,4656.0,bHLH,ENSP00000241651.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000143995,MEIS1,,Homeobox,ENSP00000454209.1;ENSP00000381518.2;ENSP00000440571.1;ENSP00000475161.1;ENSP00000272369.8;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000169740,ZNF32,7580.0,zf-C2H2,ENSP00000363556.2;ENSP00000379143.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000108511,HOXB6,3216.0,Homeobox,ENSP00000225648.3;ENSP00000420009.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000186790,FOXE3,,Fork_head,ENSP00000334472.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000006704,GTF2IRD1,9569.0,GTF2I,ENSP00000408477.2;ENSP00000418383.1;ENSP00000417909.1;ENSP00000265755.3;ENSP00000397566.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000178386,ZNF223,7766.0,zf-C2H2,ENSP00000401947.1;ENSP00000467647.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000164438,TLX3,,Homeobox,ENSP00000296921.5;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000164379,FOXQ1,94234.0,Fork_head,ENSP00000296839.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000156150,ALX3,,Homeobox,ENSP00000497310.1;ENSP00000497035.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000102804,TSC22D1,8848.0,TSC22,ENSP00000261489.2;ENSP00000481585.1;ENSP00000397435.2;ENSP00000483407.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000106004,HOXA5,3202.0,Homeobox,ENSP00000222726.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000080298,RFX3,5991.0,RFX,ENSP00000405664.1;ENSP00000351574.2;ENSP00000303847.2;ENSP00000482598.1;ENSP00000371434.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000139515,PDX1,3651.0,Homeobox,ENSP00000370421.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000126767,ELK1,2002.0,ETS,ENSP00000345585.4;ENSP00000247161.3;ENSP00000366182.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000205903,ZNF316,100131017.0,zf-C2H2,ENSP00000477706.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000090612,ZNF268,10795.0,zf-C2H2,ENSP00000228289.5;ENSP00000444412.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000129194,SOX15,6665.0,HMG,ENSP00000458286.1;ENSP00000355354.2;ENSP00000439311.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000082175,PGR,5241.0,ESR-like,ENSP00000325120.5;ENSP00000436561.1;ENSP00000482698.1;ENSP00000432914.1;ENSP00000436803.1;ENSP00000432352.1;ENSP00000487607.1;ENSP00000263463.5;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000104447,TRPS1,7227.0,zf-GATA,ENSP00000428910.1;ENSP00000428680.1;ENSP00000220888.5;ENSP00000379065.3;ENSP00000428121.1;ENSP00000492037.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000103495,MAZ,4150.0,zf-C2H2,ENSP00000458201.1;ENSP00000455913.1;ENSP00000219782.6;ENSP00000443956.1;ENSP00000461630.1;ENSP00000460057.1;ENSP00000313362.6;ENSP00000455794.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000148826,NKX6-2,84504.0,Homeobox,ENSP00000357581.5;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000119508,NR4A3,8013.0,NGFIB-like,ENSP00000333122.1;ENSP00000482027.1;ENSP00000378531.2;ENSP00000340301.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000255009,UBTFL1,642623.0,HMG,ENSP00000485108.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000172216,CEBPB,1051.0,TF_bZIP,ENSP00000305422.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000169131,ZNF354A,6940.0,zf-C2H2,ENSP00000337122.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000221869,CEBPD,1052.0,TF_bZIP,ENSP00000386165.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000176293,ZNF135,7694.0,zf-C2H2,ENSP00000321406.5;ENSP00000427691.1;ENSP00000369437.4;ENSP00000422074.1;ENSP00000441410.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000119919,NKX2-3,,Homeobox,ENSP00000342828.7;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000181449,SOX2,6657.0,HMG,ENSP00000323588.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000185022,MAFF,23764.0,TF_bZIP,ENSP00000388882.2;ENSP00000441482.1;ENSP00000345393.2;ENSP00000442060.1;ENSP00000416493.1;ENSP00000391589.1;ENSP00000384094.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000119574,ZBTB45,84878.0,ZBTB,ENSP00000346603.2;ENSP00000346603.2;ENSP00000469089.1;ENSP00000470316.1;ENSP00000473072.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000197808,ZNF461,92283.0,zf-C2H2,ENSP00000467931.1;ENSP00000479585.1;ENSP00000353515.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000167182,SP2,6668.0,zf-C2H2,ENSP00000365931.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000258724,PINX1,54984.0,HMG,ENSP00000451145.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000103199,ZNF500,26048.0,zf-C2H2,ENSP00000445714.1;ENSP00000464747.1;ENSP00000219478.5;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000119715,ESRRB,2103.0,ESR-like,ENSP00000423004.1;ENSP00000424992.2;ENSP00000493776.1;ENSP00000422488.1;ENSP00000494434.1;ENSP00000370270.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000171291,ZNF439,90594.0,zf-C2H2,ENSP00000305077.2;ENSP00000395632.1;ENSP00000506930.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000106410,NOBOX,135935.0,Homeobox,ENSP00000496732.1;ENSP00000419457.1;ENSP00000495343.1;ENSP00000419565.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000171425,ZNF581,51545.0,zf-C2H2,ENSP00000466047.1;ENSP00000270451.4;ENSP00000466564.1;ENSP00000466338.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000189190,ZNF600,162966.0,zf-C2H2,ENSP00000509267.1;ENSP00000509375.1;ENSP00000497540.1;ENSP00000510246.1;ENSP00000344791.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000125812,GZF1,64412.0,ZBTB,ENSP00000338290.5;ENSP00000338290.5;ENSP00000366250.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000278129,ZNF8,,zf-C2H2,ENSP00000477716.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000105991,HOXA1,3198.0,Homeobox,ENSP00000494260.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000178665,ZNF713,349075.0,zf-C2H2,ENSP00000487818.1;ENSP00000416662.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000196233,LCOR,84458.0,HTH,ENSP00000501887.1;ENSP00000348298.2;ENSP00000501639.1;ENSP00000360144.3;ENSP00000360138.3;ENSP00000502316.1;ENSP00000501560.1;ENSP00000443431.1;ENSP00000502416.1;ENSP00000502633.1;ENSP00000502138.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000112242,E2F3,1871.0,E2F,ENSP00000262904.4;ENSP00000443418.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000137265,IRF4,3662.0,IRF,ENSP00000436094.1;ENSP00000370343.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000186272,ZNF17,7565.0,zf-C2H2,ENSP00000471905.1;ENSP00000302455.7;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000135638,EMX1,2016.0,Homeobox,ENSP00000446992.1;ENSP00000258106.6;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000198440,ZNF583,147949.0,zf-C2H2,ENSP00000388502.2;ENSP00000291598.7;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000167157,PRRX2,,Homeobox,ENSP00000361547.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000137270,GCM1,8521.0,GCM,ENSP00000259803.7;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000198517,MAFK,7975.0,TF_bZIP,ENSP00000386009.1;ENSP00000344903.4;ENSP00000385437.2;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000121297,TSHZ3,57616.0,zf-C2H2,ENSP00000240587.4;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000099326,MZF1,7593.0,zf-C2H2,ENSP00000469493.1;ENSP00000215057.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000122386,ZNF205,7755.0,zf-C2H2,ENSP00000460890.1;ENSP00000219091.4;ENSP00000480401.1;ENSP00000371627.3;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
ENSG00000171161,ZNF672,79894.0,zf-C2H2,ENSP00000421915.1;ENSP00000426199.1;ENSP00000427021.1;,Homo_sapiens,human,main6,86000000000.0,3200,411,AnimalTFDB4.0,TF
