accession,catGRANULE,catGRANULE_rnk,PLAAC_NLLR,PLAAC_rnk,PScore,PScore_rnk,ESpritz,ESpritz_rnk,SaPS_8fea,PdPS_8fea,SaPS_8fea_rnk,PdPS_8fea_rnk,Hydropathy,FCR
P31483,0.972891,0.8829938650306749,0.424,0.9958479561069645,5.57,0.9836377473363774,0.0,4.907975460122699e-05,0.9262359738349915,0.7706691026687622,0.9924907975460122,0.9415950920245398,0.4357512953367876,0.16321243523316062
Q53EL6,1.15203,0.931042944785276,-0.324,0.27507290791359795,1.1,0.5696890628397477,0.08102345415778252,0.6806380368098159,0.5366264581680298,0.7887448072433472,0.8541349693251534,0.9519509202453987,0.4462212745794827,0.2899786780383795
Q5F1R6,0.818946,0.8242453987730062,-0.366,0.17606643270228856,0.7,0.45330506631876494,0.4726930320150659,0.9029693251533742,0.8425545692443848,0.7447415590286255,0.974920245398773,0.9257423312883436,0.3571458464113837,0.3935969868173258
Q9P2K5,2.86464,0.9950920245398773,0.103,0.963817903217834,5.69,0.9847249402043923,0.12833333333333333,0.7533251533742331,0.8318681716918945,0.7418105006217957,0.9717791411042945,0.923680981595092,0.43579629629629424,0.25333333333333335
Q8NAV1,0.395759,0.590478527607362,-0.309,0.3152587613069052,2.28,0.8100674059578169,0.22435897435897437,0.8299877300613497,0.565606415271759,0.7486841082572937,0.869398773006135,0.9284907975460123,0.35943732193732086,0.3942307692307692
P50750,0.135617,0.43190184049079755,-0.173,0.6915130245662597,1.27,0.6130680582735377,0.0,4.907975460122699e-05,0.1283726841211319,0.40034857392311096,0.5362944785276074,0.631558282208589,0.45833333333333387,0.25806451612903225
Q9UKA9,0.610848,0.7185276073619632,-0.105,0.8197320943107113,0.75,0.46852576647097194,0.0,4.907975460122699e-05,0.07013139128684998,0.3324938416481018,0.31955828220858895,0.5699141104294478,0.48441096463695393,0.17702448210922786
P27824,0.813392,0.8216932515337423,-0.36,0.18876970985121844,0.59,0.42025440313111545,0.11993243243243243,0.742920245398773,0.7003833055496216,0.6980140209197998,0.9257423312883436,0.89320245398773,0.40289039039038943,0.3581081081081081
Q96SI9,0.869798,0.8463312883435583,-0.098,0.8325342296475705,2.46,0.8355620787127637,0.0,4.907975460122699e-05,0.23589976131916046,0.7234014272689819,0.6701349693251534,0.9103312883435583,0.45233134920634865,0.25595238095238093
P19338,2.49526,0.9937668711656442,-0.004,0.91883742770995,7.99,0.996031746031746,0.5309859154929577,0.9133251533742331,0.7995287179946899,0.8728055953979492,0.9635337423312883,0.9905766871165644,0.37485133020344213,0.4112676056338028
Q8IY81,0.999828,0.8914355828220859,-0.258,0.46250803222776926,2.31,0.8149597738638834,0.16292798110979928,0.7885644171779141,0.6542581915855408,0.7870774865150452,0.906601226993865,0.9512147239263804,0.4080414534960007,0.3565525383707202
Q9Y2H6,0.931138,0.8682699386503068,0.01,0.9275369482477386,2.15,0.7898999782561427,0.0,4.907975460122699e-05,0.5045000314712524,0.6606811285018921,0.8380858895705522,0.8669938650306749,0.45230940456315966,0.20868113522537562
P62805,1.68638,0.9814969325153374,-0.506,0.031189758291730513,nan,nan,0.7961165048543689,0.9427239263803681,0.44496583938598633,0.7539604902267456,0.8042208588957055,0.9310920245398773,0.4420711974110034,0.3106796116504854
Q86W50,0.415983,0.6034846625766871,-0.371,0.16623004300331176,0.99,0.5376712328767124,0.0,4.907975460122699e-05,0.19568964838981628,0.5983646512031555,0.6357300613496932,0.815116564417178,0.44598655595097014,0.2793594306049822
Q5JNZ5,-0.953223,0.08667484662576687,-0.504,0.031980623795165836,nan,nan,0.5565217391304348,0.916760736196319,0.13832716643810272,0.5987281799316406,0.5578895705521473,0.8154601226993865,0.4420289855072463,0.28695652173913044
Q5PRF9,0.403633,0.5964662576687116,0.046,0.946072858484504,3.25,0.9100891498151772,0.0,4.907975460122699e-05,0.7712653875350952,0.5774438977241516,0.954159509202454,0.7973006134969325,0.44843099583733526,0.1930835734870317
P18583,0.416734,0.6039754601226994,0.018,0.9322327121743859,3.85,0.9425962165688193,0.15457543281121186,0.7804662576687117,0.7540923357009888,0.6134358644485474,0.9479754601226994,0.8270920245398773,0.43787670605477524,0.24402308326463315
Q92901,0.932249,0.8687116564417178,-0.319,0.28822104690821015,1.29,0.6188301804740161,0.044226044226044224,0.6049079754601226,0.5007866621017456,0.7250038385391235,0.8361226993865031,0.9117546012269938,0.4315861315861321,0.28255528255528256
