accession,catGRANULE,catGRANULE_rnk,PLAAC_NLLR,PLAAC_rnk,PScore,PScore_rnk,ESpritz,ESpritz_rnk,SaPS_8fea,PdPS_8fea,SaPS_8fea_rnk,PdPS_8fea_rnk,Hydropathy,FCR
Q9VJQ4,0.508507,0.6,-0.234,0.45047565752658086,0.41,0.3933092224231465,0.14988290398126464,0.8232686980609418,0.3844340741634369,0.5748242139816284,0.7088642659279778,0.6975069252077563,0.42755659640905513,0.27400468384074944
Q9W123,0.374262,0.5105263157894737,-0.291,0.30833799664241746,1.08,0.5889089813140446,0.21414141414141413,0.8653739612188366,0.38729721307754517,0.6990839838981628,0.7096952908587257,0.8570637119113573,0.4259932659932657,0.30505050505050507
P48159,1.18192,0.9011080332409972,-0.278,0.3424734191382205,-0.61,0.10699216395418927,0.0,0.0002770083102493075,0.053097546100616455,0.19365327060222626,0.39002770083102495,0.29584487534626036,0.48587301587301573,0.24285714285714285
Q06559,0.415819,0.5390581717451524,-0.489,0.039451594851706774,0.26,0.33755274261603374,0.18699186991869918,0.8498614958448754,0.5528780221939087,0.6389821767807007,0.7880886426592798,0.778393351800554,0.4616079494128287,0.2967479674796748
Q9V3L6,0.916616,0.8099722991689751,-0.39,0.11891438164521545,1.92,0.7444243520192887,0.0,0.0002770083102493075,0.38365623354911804,0.6466474533081055,0.7085872576177286,0.7889196675900277,0.4201298701298702,0.3051948051948052
Q7JWW5,0.625681,0.6678670360110803,-0.402,0.10492445439283715,-0.09,0.22814948764315854,0.0,0.0002770083102493075,0.03797440975904465,0.4599609971046448,0.34182825484764545,0.556786703601108,0.46012309685778885,0.27696793002915454
Q01617,-0.262364,0.19750692520775623,0.614,0.9818130945719082,2.01,0.753465943339361,0.0,0.0002770083102493075,0.7396115064620972,0.5325907468795776,0.8603878116343491,0.6404432132963989,0.4605977264393108,0.07920792079207921
Q9VLS9,0.253053,0.4376731301939058,-0.283,0.33128147733631785,0.12,0.2938517179023508,0.0,0.0002770083102493075,0.18740537762641907,0.14943480491638184,0.5952908587257618,0.2337950138504155,0.4681887366818878,0.22602739726027396
Q24297,0.692901,0.6997229916897507,-0.352,0.1804700615556799,nan,nan,1.0,0.9681440443213296,0.012906198389828205,0.2950204312801361,0.12132963988919668,0.4005540166204986,0.46957070707070664,0.25
Q9W3C2,1.0219,0.8493074792243768,-0.245,0.4266927811975378,0.44,0.4029535864978903,0.3305439330543933,0.9060941828254848,0.55625981092453,0.5038431882858276,0.7911357340720222,0.6049861495844875,0.3564156206415624,0.40585774058577406
Q9VMC8,0.155661,0.38254847645429363,-0.449,0.0612758813654169,nan,nan,0.09009009009009009,0.7523545706371191,0.016309071332216263,0.299315869808197,0.17091412742382273,0.4052631578947368,0.44504504504504494,0.27927927927927926
Q9VH38,-0.071141,0.271191135734072,-0.2,0.5254616675993284,0.22,0.32489451476793246,0.09955752212389381,0.7686980609418282,0.16905565559864044,0.15007993578910828,0.5783933518005541,0.23518005540166206,0.4596607669616509,0.22566371681415928
Q9VLV5,-0.228549,0.210803324099723,-0.405,0.10240626748740907,nan,nan,0.20212765957446807,0.8576177285318559,0.007388881407678127,0.15625181794166565,0.03905817174515235,0.24709141274238228,0.45886524822695024,0.2553191489361702
Q9W2D9,-0.229285,0.20997229916897506,-0.262,0.3813654168998321,-2.22,0.0015069318866787222,0.0,0.0002770083102493075,0.0069686793722212315,0.180471733212471,0.0260387811634349,0.2803324099722992,0.4686186186186186,0.23423423423423423
Q8MSU4,0.0286524,0.31357340720221605,-0.302,0.28343592613318414,0.89,0.5334538878842676,0.015450643776824034,0.5936288088642659,0.08159317076206207,0.21326127648353577,0.46232686980609417,0.3152354570637119,0.4825941821649972,0.25665236051502144
P40798,0.707456,0.7083102493074792,0.221,0.9026301063234471,3.13,0.8704038577456299,0.0,0.0002770083102493075,0.4787614941596985,0.7603181004524231,0.7559556786703601,0.918005540166205,0.4042595941330114,0.25406871609403253
O02193,0.277883,0.4520775623268698,-0.199,0.5288192501398993,2.55,0.8119349005424955,0.33373639661426846,0.9069252077562326,0.28776779770851135,0.4935847818851471,0.6584487534626039,0.5916897506925207,0.41782883246002833,0.26844014510278114
Q9VCE6,0.358972,0.5019390581717451,-0.251,0.41046446558477895,0.15,0.3010849909584087,0.0,0.0002770083102493075,0.28641027212142944,0.6774855852127075,0.6573407202216066,0.8296398891966759,0.4444078947368429,0.29276315789473684
P26802,0.223992,0.42022160664819946,-0.418,0.08925573587017348,0.01,0.25949367088607594,0.17321688500727803,0.839612188365651,0.6142576336860657,0.6547656655311584,0.8130193905817175,0.8022160664819945,0.44885977680737676,0.2954876273653566
Q9NFU0,2.07913,0.9869806094182826,0.424,0.9546726357022943,9.28,0.9924653405666064,0.27923976608187134,0.8883656509695291,0.9782587885856628,0.777400553226471,0.9905817174515236,0.9335180055401662,0.38991228070175243,0.2733918128654971
Q7JV70,-0.178465,0.22742382271468145,-0.559,0.01650811415780638,0.07,0.28028933092224234,0.0,0.0002770083102493075,0.36286672949790955,0.5012059211730957,0.6969529085872577,0.6016620498614959,0.42826712723085825,0.32642487046632124
Q9VYR0,-0.341264,0.17285318559556787,-0.132,0.6421376608841634,0.92,0.5433996383363472,0.16129032258064516,0.8315789473684211,0.042602308094501495,0.2768389582633972,0.35650969529085874,0.3808864265927978,0.46277521761392704,0.20276497695852536
Q9I7T7,1.62791,0.9637119113573407,0.467,0.963905987688864,5.67,0.969258589511754,0.05355976485956891,0.6831024930747922,0.9853333234786987,0.8206289410591125,0.9980609418282549,0.9700831024930748,0.42045141156833044,0.1201828870019595
Q9VJV8,-0.16556,0.23213296398891967,-0.206,0.5134303301622831,-0.18,0.20433996383363473,0.0,0.0002770083102493075,0.014031234197318554,0.14306792616844177,0.13961218836565098,0.2224376731301939,0.45666358879655294,0.23545706371191136
Q9VTP4,0.580611,0.6398891966759003,-0.37,0.15137101287073307,-0.46,0.1371308016877637,0.0,0.0002770083102493075,0.016476847231388092,0.3690733313560486,0.1736842105263158,0.4614958448753463,0.45898617511520723,0.271889400921659
O44081,0.867086,0.7930747922437673,-0.349,0.18410744264129827,0.79,0.5069318866787221,0.19094488188976377,0.8515235457063712,0.4418162703514099,0.7240464687347412,0.7360110803324099,0.8808864265927978,0.4335301837270351,0.3228346456692913
Q9VAN6,1.05277,0.8631578947368421,0.016,0.7865137101287073,1.11,0.5946353224834238,1.0,0.9681440443213296,0.6050702333450317,0.5196513533592224,0.8094182825484765,0.6254847645429363,0.3642914653784222,0.2971014492753623
Q9VG73,0.0642964,0.3299168975069252,-0.289,0.3136541689983212,0.29,0.35051235684147075,0.07828282828282829,0.7340720221606648,0.0404372438788414,0.23003271222114563,0.35041551246537395,0.3346260387811634,0.48285634118967574,0.23737373737373738
Q9NII1,0.858919,0.7867036011080333,-0.14,0.6303861219921656,0.36,0.3779385171790235,0.0,0.0002770083102493075,0.1291709989309311,0.6185888051986694,0.53601108033241,0.7559556786703601,0.4604700854700853,0.22189349112426035
Q23972,0.977188,0.8329639889196676,0.369,0.9395635142697258,3.33,0.8836648583484027,0.026026026026026026,0.6174515235457064,0.9362832307815552,0.8047165870666504,0.9445983379501385,0.9578947368421052,0.44161939717495285,0.16516516516516516
Q6NL34,0.376549,0.5138504155124654,-0.179,0.5716284275321768,1.33,0.6522001205545509,0.0,0.0002770083102493075,0.07000122219324112,0.28919100761413574,0.4337950138504155,0.3941828254847645,0.45659914057703976,0.20441988950276244
O77263,0.280611,0.4534626038781163,-0.109,0.6729155008393957,1.55,0.6928872814948764,0.03125,0.6321329639889197,0.26145631074905396,0.41363805532455444,0.643213296398892,0.5044321329639889,0.4421875000000002,0.24609375
P28668,1.04696,0.8609418282548477,-0.224,0.47537772803581424,1.32,0.6503918022905365,0.0,0.0002770083102493075,0.10441136360168457,0.6330361366271973,0.5049861495844875,0.7706371191135734,0.45632698042265735,0.26487747957992996
O44437,2.72944,0.9933518005540166,0.016,0.7865137101287073,-0.5,0.12839059674502712,0.31125827814569534,0.8983379501385041,0.26059484481811523,0.5479331016540527,0.6426592797783933,0.6592797783933518,0.4490066225165567,0.2119205298013245
Q9V726,0.708306,0.7091412742382271,-0.179,0.5716284275321768,1.12,0.596745027124774,0.0,0.0002770083102493075,0.061609942466020584,0.148707777261734,0.41578947368421054,0.23185595567867037,0.48762886597938065,0.22061855670103092
Q9VIV3,0.0459517,0.31966759002770084,-0.164,0.5970900951315053,0.48,0.41832429174201324,0.0,0.0002770083102493075,0.07391995191574097,0.28870072960853577,0.4437673130193906,0.392797783933518,0.48013717421124963,0.21975308641975308
P51406,0.113662,0.35678670360110804,-0.389,0.1200335758254057,-0.59,0.10910186859553948,0.10550458715596331,0.7761772853185596,0.06381366401910782,0.4116620123386383,0.4213296398891967,0.5030470914127424,0.4546636085626913,0.30045871559633025
Q03334,0.400742,0.5290858725761773,-0.475,0.045327364297705654,-0.31,0.17480409885473178,0.0,0.0002770083102493075,0.17633160948753357,0.5581269264221191,0.5858725761772853,0.6717451523545707,0.44481236203090463,0.2980132450331126
O61305,0.284253,0.4548476454293629,-0.184,0.5632344711807499,-0.71,0.08710066305003014,0.06304347826086956,0.7069252077562327,0.024659518152475357,0.1479981690645218,0.2736842105263158,0.23074792243767314,0.48545893719806915,0.25217391304347825
A1ZAB5,1.09325,0.8750692520775624,0.133,0.8614997202014549,1.35,0.6555153707052441,0.08218232044198895,0.7404432132963988,0.5810366272926331,0.7206156849861145,0.7991689750692521,0.8764542936288089,0.4506752608962549,0.24240331491712708
Q86BY9,0.448114,0.5598337950138504,-0.071,0.7087297146054841,0.65,0.4692585895117541,0.0,0.0002770083102493075,0.05220044404268265,0.650337815284729,0.38753462603878114,0.7950138504155124,0.4661178587494392,0.22834008097165992
Q8SX83,1.71065,0.97202216066482,0.779,0.9946838276440962,4.31,0.9345991561181435,0.25323741007194245,0.8806094182825485,0.973469614982605,0.8879693746566772,0.9825484764542937,0.9988919667590028,0.40484012789766877,0.2025179856115108
Q7KVQ0,7.54282,0.9997229916897507,0.283,0.9208170117515388,11.31,0.9960819770946353,0.32489451476793246,0.9038781163434904,0.9815866351127625,0.8725317120552063,0.9947368421052631,0.9947368421052631,0.42892639474917965,0.1940928270042194
Q9VT67,-0.694845,0.08725761772853186,-0.342,0.1983771684387241,0.13,0.2962628089210368,0.0,0.0002770083102493075,0.04861937463283539,0.13566149771213531,0.3767313019390582,0.20858725761772853,0.4997610513739554,0.1989247311827957
P36241,0.452966,0.5617728531855956,-0.44,0.07134862898712926,-0.1,0.22483423749246534,0.20689655172413793,0.8603878116343491,0.2923237681388855,0.5911749005317688,0.6609418282548476,0.7193905817174515,0.38719211822660105,0.3891625615763547
Q9W4X7,0.604706,0.6556786703601108,-0.346,0.1897034135422496,-0.17,0.2070524412296564,0.17100371747211895,0.8382271468144045,0.12169549614191055,0.6837167739868164,0.5274238227146815,0.8371191135734072,0.41747211895910735,0.2899628252788104
Q9W1I2,0.132791,0.3659279778393352,-0.12,0.6578063794068271,0.22,0.32489451476793246,0.0,0.0002770083102493075,0.13132527470588684,0.12566588819026947,0.5393351800554017,0.19168975069252078,0.49406492912665534,0.19753086419753085
P05205,0.540426,0.6166204986149585,-0.361,0.16787912702853947,1.05,0.580168776371308,0.7087378640776699,0.9506925207756233,0.7819796800613403,0.535556435585022,0.875623268698061,0.6445983379501385,0.37098166127292365,0.3592233009708738
Q7PLK0,0.726356,0.7218836565096953,-0.123,0.6513710128707331,0.38,0.38517179023508136,0.0,0.0002770083102493075,0.06992747634649277,0.6287032961845398,0.43351800554016623,0.7662049861495844,0.46651287966166743,0.22260668973471742
Q9VPD5,0.28641,0.4551246537396122,-0.317,0.2576944599888081,-0.64,0.09945750452079566,0.0,0.0002770083102493075,0.029311981052160263,0.39380505681037903,0.3044321329639889,0.48476454293628807,0.43976773383553,0.2824858757062147
Q9VF87,0.497007,0.5894736842105263,-0.021,0.7593732512590935,0.55,0.43911995177817964,0.0,0.0002770083102493075,0.09095542132854462,0.6470110416412354,0.48282548476454296,0.7905817174515235,0.46729494793011334,0.24709527498063516
Q9W3J5,0.600949,0.6537396121883656,-0.239,0.4401231113598209,-0.04,0.244122965641953,0.0,0.0002770083102493075,0.10099420696496964,0.4877873957157135,0.4983379501385042,0.5867036011080332,0.46961178045515245,0.23493975903614459
P41126,0.632232,0.6700831024930748,-0.325,0.23559037493005036,0.7,0.48342374924653403,0.22477064220183487,0.8700831024930747,0.377504825592041,0.6665652394294739,0.7041551246537396,0.8182825484764543,0.40270132517838947,0.3486238532110092
Q9W2H9,0.333129,0.4853185595567867,-0.184,0.5632344711807499,1.46,0.675708257986739,0.0,0.0002770083102493075,0.36449676752090454,0.48207348585128784,0.6975069252077563,0.5811634349030471,0.40310125282398834,0.29944547134935307
Q9W0S7,0.868067,0.7936288088642659,-0.248,0.41606043648573027,0.87,0.5292344786015672,0.02591792656587473,0.6166204986149585,0.14261610805988312,0.6843354105949402,0.5529085872576177,0.8390581717451524,0.4489800815934729,0.2796976241900648
Q9VDZ4,0.0489901,0.321606648199446,-0.4,0.10744264129826525,-0.66,0.09614225437010247,0.0,0.0002770083102493075,0.024691715836524963,0.16905999183654785,0.2742382271468144,0.2642659279778393,0.45460610726199646,0.2702078521939954
