DeepPhase_rnk	DeepPhase_single	PLAAC_NLLR	PLAAC_rnk	PScore_rnk	PScore_single	accession	catGRANULE_rnk	catGRANULE_single	species
0.8090642047838859	0.905053	-0.18	0.6742622707725767	0.8314851054577082	2.43	Q9UDY2	0.9722699386503068	1.49749	Homo_sapiens
nan	nan	-0.077	0.859176511294548	0.4148184387910415	0.57	Q6ZNG1	0.9246134969325154	1.1205	Homo_sapiens
nan	nan	-0.226	0.5543967179081607	0.34871711241574255	0.36	P21128	0.5662822085889571	0.355982	Homo_sapiens
0.8553923625681914	0.9527249	0.254	0.9870001482872819	0.9281365514242227	3.57	Q9UPN9	0.815558282208589	0.798331	Homo_sapiens
0.7833822912295426	0.8678379	-0.27	0.42756166279472096	0.3329528158295282	0.31	P05141	0.8054478527607362	0.776915	Homo_sapiens
nan	nan	-0.497	0.034600365775295336	nan	nan	P62899	0.6291042944785276	0.457034	Homo_sapiens
nan	nan	-0.262	0.45148534427363946	nan	nan	Q6ZSJ8	0.9404662576687116	1.20757	Homo_sapiens
0.18355014687368862	0.37548566	-0.281	0.39602590084523753	0.972494020439226	4.84	Q8NC60	0.7551901840490798	0.675782	Homo_sapiens
0.1390684011749895	0.34684515	0.011	0.9282289555632445	0.6080126114372689	1.25	P16989	0.9645153374233129	1.39382	Homo_sapiens
nan	nan	-0.283	0.38964954772379023	0.24565122852794086	0.02	P05165	0.779239263803681	0.726422	Homo_sapiens
0.3916072177926983	0.48611858	-0.351	0.20893678018881914	0.27380952380952384	0.12	P14618	0.6791656441717792	0.541831	Homo_sapiens
0.5716323961393202	0.60231626	-0.444	0.06663041866442589	0.9259078060447924	3.53	Q9NWB6	0.6678282208588957	0.522702	Homo_sapiens
0.058329836340746954	0.26430416	-0.225	0.557560179921902	0.342791911285062	0.34	Q8IX18	0.5685889570552147	0.35925	Homo_sapiens
0.2210658833403273	0.39779565	-0.286	0.3804557362463546	0.04332463579038921	-1.02	Q96NG8	0.7096441717791411	0.594546	Homo_sapiens
0.41049097775912713	0.49487108	-0.244	0.5032376056546883	0.8100674059578169	2.28	Q14147	0.6013742331288343	0.413647	Homo_sapiens
0.019890893831305077	0.19431746	-0.382	0.1464584054174287	0.2486410089149815	0.03	Q9Y312	0.23941104294478527	-0.279794	Homo_sapiens
0.15484683172471675	0.35969278	0.271	0.9884335920122584	0.9363448575777343	3.73	Q12830	0.9480245398773006	1.2569	Homo_sapiens
nan	nan	-0.487	0.03939498788987198	0.1080669710806697	-0.56	Q15631	0.2997791411042945	-0.127433	Homo_sapiens
0.6103231221149811	0.6451915	-0.351	0.20893678018881914	0.4597195042400522	0.72	Q9P0L0	0.2641963190184049	-0.212459	Homo_sapiens
nan	nan	-0.146	0.7471207552765557	0.3546966731898239	0.38	Q8ND71	0.9078773006134969	1.05625	Homo_sapiens
0.09685270667226185	0.31242362	0.202	0.9817112352330581	0.9970102196129593	8.9	Q1KMD3	0.9846871165644172	1.78403	Homo_sapiens
0.28367603860679813	0.4316689	-0.151	0.7381740892689437	0.2215155468580126	-0.07	Q9NXG2	0.9031656441717791	1.04197	Homo_sapiens
0.5712966848510281	0.6022226	-0.341	0.23162473431861993	0.49173733420308763	0.83	P49321	0.9357055214723926	1.17663	Homo_sapiens
0.12345782626940831	0.33447513	-0.278	0.4037368395037319	0.3398021308980213	0.33	O43824	0.6143312883435583	0.433968	Homo_sapiens
nan	nan	-0.088	0.8447926449508181	0.3398021308980213	0.33	Q9NUV9	0.530159509202454	0.300899	Homo_sapiens
0.6950902224087285	0.752613	-0.375	0.15856853343878208	0.4942922374429224	0.84	Q9Y2W6	0.5554355828220859	0.339092	Homo_sapiens
