accession,gene_name,protein_name,length,family,domains,n_domains,idr_percentage,idr_total_length,n_idr_regions,ps_score,ps_category,charge_density,aromatic_density,species,species_key,complexity,LLPhyScore_mean,LLPhyScore_median,LLPhyScore_max,disorder_long_mean,pi_pi_mean,electrostatic_mean,protein_water_mean,llphy_category
A7MD48,SRRM4 KIAA1853,Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100),611,Other,,0,99.51,604,2,0.496,Medium,31.588,4.419,Homo sapiens,human,high,151.0,97.66150822893638,1.035435744845007,38.0,-192.0,236.0,39.0,High
A9UHW6,MIF4GD SLIP1,MIF4G domain-containing protein (SLBP-interacting protein 1) (hSLIP1),222,Other,,0,41.44,69,2,0.25,Low,24.324,9.009,Homo sapiens,human,high,-287.0,53.58634242200934,0.2224611267361913,-58.0,-64.0,-15.0,-8.0,Low
O00422,SAP18 GIG38,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),153,Other,,0,57.52,68,3,0.33,Medium,29.412,7.843,Homo sapiens,human,high,-97.0,81.75141242937853,0.5751213492034857,-17.0,-49.0,6.0,-12.0,Low
A6NDE4,RBMY1B,"RNA-binding motif protein, Y chromosome, family 1 member B",496,RRM-containing,RRM,1,93.55,444,3,0.477,Medium,28.629,9.476,Homo sapiens,human,high,184.0,98.02505526897568,1.0966872571682738,0.0,14.0,83.0,114.0,High
O00411,POLRMT,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",1230,Other,,0,54.15,563,17,0.297,Low,22.927,6.667,Homo sapiens,human,high,-1382.0,3.1098010316875464,-1.8099754185358472,-232.0,-332.0,-162.0,-51.0,Low
O00425,IGF2BP3 IMP3 KOC1 VICKZ3,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3),579,IGF2BP,KH|RRM,2,63.56,352,13,0.334,Medium,23.661,4.836,Homo sapiens,human,high,-380.0,42.04618029968067,0.0498432283706209,-97.0,-144.0,-1.0,-3.0,Low
A6NGQ2,OOEP C6orf156 KHDC2 OEP19,Oocyte-expressed protein homolog (KH homology domain-containing protein 2) (Oocyte- and embryo-specific protein 19) (hOEP19),149,KH-containing,KH,1,46.31,58,2,0.277,Low,26.174,7.383,Homo sapiens,human,high,-196.0,66.27118644067797,0.3913668122336849,-41.0,-45.0,-20.0,-11.0,Low
A6NHQ2,FBLL1,RNA 2'-O-methyltransferase FBLL1 (EC 2.1.1.-) (Fibrillarin like 1),334,Other,,0,61.98,147,3,0.332,Medium,23.353,5.988,Homo sapiens,human,high,69.0,96.02309014984034,0.8832350172538587,-56.0,-4.0,7.0,41.0,High
O00148,DDX39A DDX39,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),427,Helicase,Helicase,1,25.29,67,3,0.194,Low,28.103,8.197,Homo sapiens,human,high,-321.0,49.24342913289119,0.159353507978886,-84.0,-109.0,30.0,-35.0,Low
O00178,GTPBP1,GTP-binding protein 1 (G-protein 1) (GP-1) (GP1),669,Other,,0,52.02,295,7,0.287,Low,23.318,4.933,Homo sapiens,human,high,-441.0,35.42372881355932,-0.0633792641057209,-138.0,-158.0,15.0,-1.0,Low
A4D1E9,GTPBP10 OBGH2 UG0751c10,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),387,Other,,0,45.48,133,7,0.265,Low,24.548,6.46,Homo sapiens,human,high,-353.0,45.202652910832725,0.0999581020896574,-70.0,-100.0,-36.0,-34.0,Low
C9JE40,PATL2,Protein PAT1 homolog 2 (PAT1-like protein 2) (Protein PAT1 homolog a) (Pat1a) (hPat1a),543,Other,,0,53.41,240,6,0.294,Low,22.284,7.182,Homo sapiens,human,high,-509.0,29.71014492753623,-0.1895945016203316,-37.0,-193.0,-23.0,-6.0,Low
O00370,,LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)],1275,Other,,0,31.53,278,11,0.219,Low,27.294,9.412,Homo sapiens,human,high,-1699.0,1.8103660034389584,-2.3983611581260176,-256.0,-454.0,-103.0,-254.0,Low
A0AV96,RBM47,RNA-binding protein 47 (RNA-binding motif protein 47),593,RRM-containing,RRM,1,58.01,301,10,0.315,Medium,21.079,9.106,Homo sapiens,human,high,-273.0,55.5219847703267,0.2484466168127288,-184.0,-3.0,6.0,78.0,Low
O00257,CBX4,E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2),560,Other,,0,78.75,409,6,0.405,Medium,26.25,5.0,Homo sapiens,human,high,-196.0,66.27118644067797,0.3913668122336849,-50.0,-64.0,-4.0,36.0,Low
A2RUC4,TYW5 C2orf60,tRNA wybutosine-synthesizing protein 5 (hTYW5) (tRNA yW-synthesizing protein 5) (EC 1.14.11.42) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase),315,Other,,0,42.22,81,3,0.271,Low,27.937,12.381,Homo sapiens,human,high,-332.0,47.737656595431105,0.1389363372044637,-74.0,-77.0,-23.0,-27.0,Low
