accession,protein_name,species,common_name,group,protein_type,db_type,data_source,neurons,genome_mb,cell_types,llphy_score,llphy_category,family,gene_name
A0A0B4KGY6,NOVA_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6567900323011749,High,Other,
A1ZA55,CGLR1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0758287184471583,Medium,Other,
A1ZAW0,DCR2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-2.6619282717594692,Low,Dicer,
A8DYP7,CGLR2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3603562935518636,Medium,Other,
B7Z0E2,UNR_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1352241243363869,Medium,Other,
B7Z0I7,SPN1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5287186883525259,High,Other,
O01367,HOW_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0925336763535039,Medium,Other,
O44081,DKC1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0943897827875423,Medium,Other,
O46102,PAPD1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.4030467415347466,Medium,Other,
O76922,AUB_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.5348302983514724,Low,Other,
O77263,TRMB_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3672374285911858,Medium,Other,
P07909,ROA1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.8818202787665133,High,Other,
P09052,VASA1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.0335796384109683,High,Other,
P09081,BCD_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.9092205073303962,High,Other,
P13469,MODU_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6363728615267527,High,Other,
P16914,ELAV_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5268625819184876,High,Other,
P17133,RU17_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4006473444038769,Medium,Other,
P19018,TRA2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.510157624012142,High,Other,
P19109,DDX17_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.0725578735257746,High,DEAD-box,
P19339,SXL_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.937062103840972,High,Other,
P21187,PABP_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.2762882133233046,Medium,PABP,
P22293,SUS_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.7203390190051733,High,Other,
P23128,DDX6_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3510757613816717,Medium,DEAD-box,
P25159,STAU_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.989033083994047,High,Other,
P25724,NANOS_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4266328344804144,Medium,Other,
P25822,PUM_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.6460947616436377,High,Other,
P26686,SRR55_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.970472019653663,High,Other,
P28668,SYEP_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-1.7301628418721966,Low,Other,
P28750,EXU_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1816267851873467,Medium,Other,
P40798,STC_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.055411547672736,Medium,Other,
P43332,SNRPA_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5936824135438696,High,Other,
P48598,IF4E_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4971648789738732,Medium,Other,
P48809,RB27C_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,2.026596580621508,High,Other,
P48810,RB87F_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,2.171372882476502,High,Other,
P49028,MGN_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4860282403696429,Medium,Other,
P50534,MSL2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3857984929315697,Medium,Other,
P92204,NELFE_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5714091363354089,High,Other,
Q01617,CPO_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3226908741742644,Medium,Other,
Q02427,RBP1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7198976510584802,High,Other,
Q02748,IF4A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.011408283952646,Medium,Other,
Q04047,NONA_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,2.5054720406034128,High,Other,
Q05344,SSRP1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7774369505136703,High,Other,
Q05856,RSMB_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.7477392475690561,High,Other,
Q06559,RS3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4006473444038769,Medium,Ribosomal-S,
Q08473,SQD_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.8595470015580529,High,Other,
Q23972,SMG_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.4915965596717581,Medium,Other,
Q24009,BICC_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1445046565065788,Medium,Other,
Q24207,BOULE_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.5398553269567563,High,Other,
Q24491,RX21_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.260024623363652,High,Other,
Q24562,U2AF2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3709496414592626,Medium,Other,
Q27268,DX39B_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.0368504833323521,Medium,Other,
Q27294,CAZ_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,2.616838426645716,High,Other,
Q5LJZ2,SET1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.6554772165639678,Low,Other,
Q7K175,HENMT_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1426485500725405,Medium,Other,
Q7K1U0,ARC1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.458186643859067,Medium,Other,
Q7KMJ6,NITO_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.3226908741742644,Medium,Other,
Q7KNF2,PABP2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6419411808288678,High,PABP,
Q7PLK0,AGO3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.902339372291074,Low,Argonaute,
Q8IPX7,EXOS3_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.1760584658852315,Medium,Other,
Q8MSU4,SYMPK_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-2.357526816577173,Low,Other,
Q8MSV2,SHEP_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.3101394970826887,High,Other,
Q8SX83,SPEN_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,2.7653269413687873,High,Other,
Q8SY33,GAWKY_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,3.745351138541058,High,Other,
Q8T6B9,PUF68_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.1283429892970646,Medium,Other,
Q94535,U2AF1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.8405445692709756,High,Other,
Q94901,LARK_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6753510966415588,High,Other,
Q9BJZ5,FUSIL_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.5144131275770502,Low,Other,
Q9NFU0,FMR1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.9667598067855864,High,FMR,
Q9U1H9,NXF1_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.1431918407693718,Medium,Other,
Q9U3V9,XMAS_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-2.8382583829931165,Low,Other,
Q9V3C0,DDX41_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.3120975262668654,Medium,DEAD-box,
Q9V3L6,NCBP2_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6029629457140616,High,Other,
Q9V3V0,SRSF7_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.0038819354663542,High,SR,
Q9V535,RBM8A_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.6957682674159812,High,Other,
Q9VAN6,SLBP_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,0.8795228043857819,High,Other,
Q9VAW5,LARP_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.2433196654573069,High,Other,
Q9VBZ5,YTHDF_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.6163970586990233,High,Other,
Q9VCA8,ANKHM_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,1.2674490490998058,High,Other,
Q9VCE6,MTA70_DROME,fly,fly,main,RBP,sp,reviewed,100000.0,143,80,-0.1988750337905235,Medium,Other,
